label,exclusion_set,seed,axis,test_isolation,test_cross_mean,test_seen_lipid_share,valid_isolation,valid_cross_mean,valid_seen_lipid_share,train_rows,valid_rows,test_rows,test_positives,test_positive_rate,test_proteins,train_positives,test_block_structures,test_train_structures,balanced_accuracy,F1
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_lcs_esm3_protunion14_prothid32,groups_choline,4,lipid_coldsplit,0.6528058648109436,0.49470165371894836,0.0,0.6529385447502136,0.4947049915790558,0.0,1233,280,278,111,0.39928057553956836,16,411,739,481,0.669849,0.56044
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_lcs_esm3_protunion14_prothid32,groups_choline,3,lipid_coldsplit,0.6530588269233704,0.4948027729988098,0.0,0.6523472666740417,0.49427664279937744,0.0,1233,280,278,111,0.39928057553956836,16,411,717,481,0.653666,0.6
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_lcs_esm3_protunion14_prothid32,groups_anionic,2,lipid_coldsplit,0.7663864493370056,0.5313339233398438,0.0,0.7664970755577087,0.5310671329498291,0.0,1344,244,244,93,0.38114754098360654,19,448,245,979,0.617639,0.586345
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_lcs_esm3_protunion14_prothid32,groups_anionic,3,lipid_coldsplit,0.7663864493370056,0.5313339233398438,0.0,0.7665771245956421,0.5306826233863831,0.0,1344,244,244,93,0.38114754098360654,17,448,245,979,0.524247,0.414894
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_lcs_esm3_protunion14_prothid32,groups_anionic,0,lipid_coldsplit,0.7664093971252441,0.5313458442687988,0.0,0.763886570930481,0.5297296643257141,0.0,1344,244,244,93,0.38114754098360654,19,448,244,979,0.622232,0.571429
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_lcs_esm3_protunion14_prothid32,groups_anionic,4,lipid_coldsplit,0.7664144039154053,0.5314823389053345,0.0,0.7665293216705322,0.5314740538597107,0.0,1344,244,244,93,0.38114754098360654,18,448,241,979,0.575482,0.524444
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_lcs_esm3_protunion14_prothid32,groups_anionic,1,lipid_coldsplit,0.7669582366943359,0.5313917994499207,0.0,0.7663611769676208,0.5313136577606201,0.0,1344,244,244,93,0.38114754098360654,19,448,242,979,0.539878,0.506224
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_rand_esm3_protunion14_prothid32,random,0,random,1.0,0.6425238251686096,1.0,1.0,0.6439303755760193,1.0,1617,142,143,46,0.32167832167832167,27,542,537,1225,0.863738,0.792453
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_rand_esm3_protunion14_prothid32,random,1,random,1.0,0.6200741529464722,1.0,0.9995004534721375,0.6410006880760193,0.993006993006993,1617,143,142,45,0.31690140845070425,24,543,494,1224,0.873081,0.803922
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_rand_esm3_protunion14_prothid32,random,2,random,1.0,0.6266025304794312,1.0,1.0,0.6471702456474304,0.9929577464788732,1617,142,143,43,0.3006993006993007,27,549,473,1226,0.886744,0.803922
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_rand_esm3_protunion14_prothid32,random,3,random,1.0,0.6333248615264893,1.0,1.0,0.6425609588623047,0.9859154929577465,1617,142,143,48,0.3356643356643357,28,538,487,1217,0.848026,0.785047
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_rand_esm3_protunion14_prothid32,random,4,random,1.0,0.6235138177871704,1.0,1.0,0.6204224228858948,1.0,1617,142,143,45,0.3146853146853147,28,545,583,1226,0.637642,0.523364
