label,exclusion_set,seed,axis,test_isolation,test_cross_mean,test_seen_lipid_share,test_protein_isolation,test_protein_cross_mean,test_block_proteins,test_train_proteins,protein_descriptors,valid_isolation,valid_cross_mean,valid_seen_lipid_share,valid_protein_isolation,train_rows,valid_rows,test_rows,test_positives,test_positive_rate,test_proteins,train_positives,test_block_structures,test_train_structures,TP,FP,TN,FN,AUC_within_protein,AUC
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_lcs_esm3_protunion14_prothid32,groups_choline,2,lipid_coldsplit,0.6525306701660156,0.4943079352378845,0.0,0.969764979684808,0.40720859229721496,15,32,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.6524088382720947,0.4942065179347992,0.0,0.9554861196955191,1233,280,278,111,0.39928057553956836,15,411,726,481,43.0,50.0,117.0,68.0,0.721088,0.546205
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_lcs_esm3_protunion14_prothid32,groups_choline,0,lipid_coldsplit,0.6526122093200684,0.4943278431892395,0.0,0.9554861196955191,0.40789220532832066,16,32,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.6526618599891663,0.494399756193161,0.0,0.9525185276752204,1233,280,278,111,0.39928057553956836,16,411,745,481,45.0,16.0,151.0,66.0,0.694679,0.73534
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_lcs_esm3_protunion14_prothid32,groups_choline,1,lipid_coldsplit,0.6526122093200684,0.4943278431892395,0.0,0.9554861196955191,0.40789220532832066,16,32,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.6525722146034241,0.4943201243877411,0.0,0.9525185276752204,1233,280,278,111,0.39928057553956836,16,411,745,481,16.0,20.0,147.0,95.0,0.719723,0.66165
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_lcs_esm3_protunion14_prothid32,groups_choline,4,lipid_coldsplit,0.6528058648109436,0.49470165371894836,0.0,0.9554861196955191,0.40789220532832066,16,32,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.6529385447502136,0.4947049617767334,0.0,0.9525185276752204,1233,280,278,111,0.39928057553956836,16,411,739,481,51.0,20.0,147.0,60.0,0.724869,0.730809
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_lcs_esm3_protunion14_prothid32,groups_choline,3,lipid_coldsplit,0.6530588269233704,0.49480271339416504,0.0,0.9554861196955191,0.40789220532832066,16,32,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.6523472666740417,0.49427658319473267,0.0,0.9525185276752204,1233,280,278,111,0.39928057553956836,16,411,717,481,72.0,57.0,110.0,39.0,0.677405,0.657064
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_lcs_esm3_protunion14_prothid32,groups_anionic,2,lipid_coldsplit,0.7663864493370056,0.5313339233398438,0.0,0.9548824431308975,0.40692685369109516,19,31,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.7664970755577087,0.5310671925544739,0.0,0.9548824431308975,1344,244,244,93,0.38114754098360654,19,448,245,979,73.0,83.0,68.0,20.0,0.584308,0.620986
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_lcs_esm3_protunion14_prothid32,groups_anionic,3,lipid_coldsplit,0.7663864493370056,0.5313339233398438,0.0,0.9495744952639443,0.4070440229633287,17,31,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.7665771245956421,0.5306826829910278,0.0,0.9523759121937252,1344,244,244,93,0.38114754098360654,17,448,245,979,39.0,56.0,95.0,54.0,0.534407,0.534359
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_lcs_esm3_protunion14_prothid32,groups_anionic,0,lipid_coldsplit,0.7664093971252441,0.5313458442687988,0.0,0.9548824431308975,0.40692685369109516,19,31,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.763886570930481,0.5297296643257141,0.0,0.9548824431308975,1344,244,244,93,0.38114754098360654,19,448,244,979,64.0,67.0,84.0,29.0,0.581866,0.609236
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_lcs_esm3_protunion14_prothid32,groups_anionic,4,lipid_coldsplit,0.7664144039154053,0.5314823985099792,0.0,0.9523759121937252,0.4070505236649492,18,31,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.7665293216705322,0.5314740538597107,0.0,0.9548824431308975,1344,244,244,93,0.38114754098360654,18,448,241,979,59.0,73.0,78.0,34.0,0.579396,0.573809
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_lcs_esm3_protunion14_prothid32,groups_anionic,1,lipid_coldsplit,0.7669582366943359,0.5313918590545654,0.0,0.9548824431308975,0.40692685369109516,19,31,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.7663611769676208,0.5313136577606201,0.0,0.9548824431308975,1344,244,244,93,0.38114754098360654,19,448,242,979,61.0,87.0,64.0,32.0,0.535418,0.575447
