LTPProtein,FullIdentityOfLipid,rows_merged,kept_row,dropped_rows,candidates_after,screens
GM2A,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,2532,2605,2,in cellulo
GM2A,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,2533,2609,2,in cellulo
GM2A,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,2535,2606,5,in cellulo
GM2A,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,2546,2791,1,in cellulo
GM2A,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,2550,2750,3,in cellulo
GM2A,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,2557,2684,1,in cellulo
GM2A,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,2584,2703,1,in vitro
GM2A,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,2600,2735,5,in vitro
GM2A,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,2602,2734,7,in vitro
GM2A,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,2613,2751,3,in vitro
GM2A,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,2616,2752,3,in vitro
GM2A,Phosphatidylglycerol (32:1),3,2619,2770;2793,15,in vitro
GM2A,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,2623,2661,2,in vitro
GM2A,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,2654,2712,2,in vitro
GM2A,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,2657,2709,1,in vitro
GM2A,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,2677,2790,4,in vitro
GM2A,Hexosyl ceramide (d42:1),2,2726,2727,8,in cellulo
GM2A,Hexosyl ceramide (d42:2),2,2728,2729,4,in cellulo
GM2A,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,2737,2738,8,in cellulo
GM2A,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,2739,2740,4,in cellulo
GM2A,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,2753,2754,2,in cellulo
GM2A,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,2756,2757,2,in cellulo
LCN1,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,2813,2955,16,in cellulo
LCN1,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,2819,3040,3,in cellulo
LCN1,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,2820,2892,1,in cellulo
LCN1,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,2821,2896,2,in cellulo
LCN1,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,2822,2895,2,in cellulo
LCN1,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,2823,2890,2,in cellulo
LCN1,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,2824,2894,2,in cellulo
LCN1,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,2826,2891,5,in cellulo
LCN1,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,2842,2969,1,in cellulo
LCN1,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,2869,2988,1,in vitro
LCN1,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,2885,3020,5,in vitro
LCN1,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,2887,3019,7,in vitro
LCN1,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,2898,3036,3,in vitro
LCN1,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,2901,3037,3,in vitro
LCN1,Phosphatidylglycerol (32:1),3,2904,3055;3078,15,in vitro
LCN1,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,2908,2946,2,in vitro
LCN1,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,2939,2997,2,in vitro
LCN1,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,2942,2994,1,in vitro
LCN1,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,2962,3075,4,in vitro
LCN1,Hexosyl ceramide (d42:1),2,3011,3012,8,in cellulo
LCN1,Hexosyl ceramide (d42:2),2,3013,3014,4,in cellulo
LCN1,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,3022,3023,8,in cellulo
LCN1,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,3024,3025,4,in cellulo
LCN1,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,3038,3039,2,in cellulo
LCN1,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,3041,3042,2,in cellulo
PITPNA,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,3099,3246,16,in cellulo
PITPNA,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,3105,3331,3,in cellulo
PITPNA,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,3106,3184,1,in cellulo
PITPNA,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,3107,3188,2,in cellulo
PITPNA,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,3108,3187,2,in cellulo
PITPNA,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,3109,3182,2,in cellulo
PITPNA,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,3110,3186,2,in cellulo
PITPNA,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,3112,3183,5,in cellulo
PITPNA,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,3127,3367,1,in cellulo
PITPNA,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,3131,3326,3,in cellulo
PITPNA,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,3136,3260,1,in cellulo
PITPNA,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,3161,3279,1,in vitro
PITPNA,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,3177,3311,5,in vitro
PITPNA,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,3179,3310,7,in vitro
PITPNA,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,3190,3327,3,in vitro
PITPNA,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,3193,3328,3,in vitro
PITPNA,Phosphatidylglycerol (32:1),3,3196,3346;3369,15,in vitro
PITPNA,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,3200,3237,2,in vitro
PITPNA,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,3230,3288,2,in vitro
PITPNA,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,3233,3285,1,in vitro
PITPNA,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,3253,3366,4,in vitro
PITPNA,Hexosyl ceramide (d42:1),2,3302,3303,8,in cellulo
PITPNA,Hexosyl ceramide (d42:2),2,3304,3305,4,in cellulo
PITPNA,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,3313,3314,8,in cellulo
PITPNA,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,3315,3316,4,in cellulo
PITPNA,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,3329,3330,2,in cellulo
PITPNA,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,3332,3333,2,in cellulo
PITPNB,Phosphatidylcholine (32:2),2,3372,3647,13,in cellulo
PITPNB,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,3394,3538,16,in cellulo
PITPNB,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,3400,3619,3,in cellulo
PITPNB,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,3401,3481,1,in cellulo
PITPNB,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,3402,3485,2,in cellulo
PITPNB,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,3403,3484,2,in cellulo
PITPNB,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,3404,3479,2,in cellulo
PITPNB,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,3405,3483,2,in cellulo
PITPNB,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,3407,3480,5,in cellulo
PITPNB,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,3424,3653,1,in cellulo
PITPNB,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,3428,3614,3,in cellulo
PITPNB,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,3433,3552,1,in cellulo
PITPNB,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,3458,3570,1,in vitro
PITPNB,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,3474,3599,5,in vitro
PITPNB,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,3476,3598,7,in vitro
PITPNB,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,3487,3615,3,in vitro
PITPNB,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,3490,3616,3,in vitro
PITPNB,Phosphatidylglycerol (32:1),3,3493,3632;3655,15,in vitro
PITPNB,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,3497,3529,2,in vitro
PITPNB,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,3522,3579,2,in vitro
PITPNB,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,3525,3576,1,in vitro
PITPNB,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,3545,3652,4,in vitro
PITPNB,Hexosyl ceramide (d42:1),2,3590,3591,8,in cellulo
PITPNB,Hexosyl ceramide (d42:2),2,3592,3593,4,in cellulo
PITPNB,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,3601,3602,8,in cellulo
PITPNB,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,3603,3604,4,in cellulo
PITPNB,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,3617,3618,2,in cellulo
PITPNB,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,3620,3621,2,in cellulo
RBP1,Phosphatidylcholine (32:2),2,3661,3958,13,in cellulo
RBP1,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,3690,3843,16,in cellulo
RBP1,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,3696,3928,3,in cellulo
RBP1,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,3697,3780,1,in cellulo
RBP1,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,3698,3784,2,in cellulo
RBP1,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,3699,3783,2,in cellulo
RBP1,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,3700,3778,2,in cellulo
RBP1,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,3701,3782,2,in cellulo
RBP1,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,3703,3779,5,in cellulo
RBP1,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,3720,3964,1,in cellulo
RBP1,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,3724,3923,3,in cellulo
RBP1,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,3730,3857,1,in cellulo
RBP1,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,3757,3876,1,in vitro
RBP1,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,3773,3908,5,in vitro
RBP1,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,3775,3907,7,in vitro
RBP1,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,3786,3924,3,in vitro
RBP1,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,3789,3925,3,in vitro
RBP1,Phosphatidylglycerol (32:1),3,3792,3943;3966,15,in vitro
RBP1,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,3796,3834,2,in vitro
RBP1,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,3827,3885,2,in vitro
RBP1,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,3830,3882,1,in vitro
RBP1,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,3850,3963,4,in vitro
RBP1,Hexosyl ceramide (d42:1),2,3899,3900,8,in cellulo
RBP1,Hexosyl ceramide (d42:2),2,3901,3902,4,in cellulo
RBP1,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,3910,3911,8,in cellulo
RBP1,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,3912,3913,4,in cellulo
RBP1,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,3926,3927,2,in cellulo
RBP1,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,3929,3930,2,in cellulo
RBP4,Phosphatidylcholine (32:2),2,3972,4269,13,in cellulo
RBP4,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,4001,4154,16,in cellulo
RBP4,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,4007,4239,3,in cellulo
RBP4,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,4008,4091,1,in cellulo
RBP4,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,4009,4095,2,in cellulo
RBP4,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,4010,4094,2,in cellulo
RBP4,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,4011,4089,2,in cellulo
RBP4,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,4012,4093,2,in cellulo
RBP4,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,4014,4090,5,in cellulo
RBP4,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,4031,4275,1,in cellulo
RBP4,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,4035,4234,3,in cellulo
RBP4,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,4041,4168,1,in cellulo
RBP4,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,4068,4187,1,in vitro
RBP4,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,4084,4219,5,in vitro
RBP4,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,4086,4218,7,in vitro
RBP4,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,4097,4235,3,in vitro
RBP4,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,4100,4236,3,in vitro
RBP4,Phosphatidylglycerol (32:1),3,4103,4254;4277,15,in vitro
RBP4,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,4107,4145,2,in vitro
RBP4,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,4138,4196,2,in vitro
RBP4,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,4141,4193,1,in vitro
RBP4,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,4161,4274,4,in vitro
RBP4,Hexosyl ceramide (d42:1),2,4210,4211,8,in cellulo
RBP4,Hexosyl ceramide (d42:2),2,4212,4213,4,in cellulo
RBP4,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,4221,4222,8,in cellulo
RBP4,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,4223,4224,4,in cellulo
RBP4,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,4237,4238,2,in cellulo
RBP4,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,4240,4241,2,in cellulo
SEC14L2,Phosphatidylcholine (32:2),2,4283,4572,13,in cellulo
SEC14L2,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,4309,4461,16,in cellulo
SEC14L2,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,4315,4546,3,in cellulo
SEC14L2,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,4316,4398,1,in cellulo
SEC14L2,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,4317,4402,2,in cellulo
SEC14L2,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,4318,4401,2,in cellulo
SEC14L2,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,4319,4396,2,in cellulo
SEC14L2,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,4320,4400,2,in cellulo
SEC14L2,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,4322,4397,5,in cellulo
SEC14L2,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,4338,4578,1,in cellulo
SEC14L2,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,4342,4541,3,in cellulo
SEC14L2,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,4348,4475,1,in cellulo
SEC14L2,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,4375,4494,1,in vitro
SEC14L2,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,4391,4526,5,in vitro
SEC14L2,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,4393,4525,7,in vitro
SEC14L2,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,4404,4542,3,in vitro
SEC14L2,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,4407,4543,3,in vitro
SEC14L2,Phosphatidylglycerol (32:1),3,4410,4561;4580,15,in vitro
SEC14L2,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,4414,4452,2,in vitro
SEC14L2,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,4445,4503,2,in vitro
SEC14L2,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,4448,4500,1,in vitro
SEC14L2,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,4468,4577,4,in vitro
SEC14L2,Hexosyl ceramide (d42:1),2,4517,4518,8,in cellulo
SEC14L2,Hexosyl ceramide (d42:2),2,4519,4520,4,in cellulo
SEC14L2,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,4528,4529,8,in cellulo
SEC14L2,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,4530,4531,4,in cellulo
SEC14L2,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,4544,4545,2,in cellulo
SEC14L2,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,4547,4548,2,in cellulo
SEC14L6,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,4601,4755,16,in cellulo
SEC14L6,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,4607,4840,3,in cellulo
SEC14L6,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,4608,4692,1,in cellulo
SEC14L6,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,4609,4696,2,in cellulo
SEC14L6,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,4610,4695,2,in cellulo
SEC14L6,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,4611,4690,2,in cellulo
SEC14L6,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,4612,4694,2,in cellulo
SEC14L6,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,4614,4691,5,in cellulo
SEC14L6,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,4631,4876,1,in cellulo
SEC14L6,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,4635,4835,3,in cellulo
SEC14L6,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,4642,4769,1,in cellulo
SEC14L6,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,4669,4788,1,in vitro
SEC14L6,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,4685,4820,5,in vitro
SEC14L6,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,4687,4819,7,in vitro
SEC14L6,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,4698,4836,3,in vitro
SEC14L6,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,4701,4837,3,in vitro
SEC14L6,Phosphatidylglycerol (32:1),3,4704,4855;4878,15,in vitro
SEC14L6,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,4708,4746,2,in vitro
SEC14L6,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,4739,4797,2,in vitro
SEC14L6,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,4742,4794,1,in vitro
SEC14L6,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,4762,4875,4,in vitro
SEC14L6,Hexosyl ceramide (d42:1),2,4811,4812,8,in cellulo
SEC14L6,Hexosyl ceramide (d42:2),2,4813,4814,4,in cellulo
SEC14L6,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,4822,4823,8,in cellulo
SEC14L6,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,4824,4825,4,in cellulo
SEC14L6,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,4838,4839,2,in cellulo
SEC14L6,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,4841,4842,2,in cellulo
STARD2,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,4893,5026,16,in cellulo
STARD2,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,4899,5091,3,in cellulo
STARD2,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,4900,4965,1,in cellulo
STARD2,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,4901,4969,2,in cellulo
STARD2,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,4902,4968,2,in cellulo
STARD2,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,4903,4963,2,in cellulo
STARD2,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,4904,4967,2,in cellulo
STARD2,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,4906,4964,5,in cellulo
STARD2,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,4919,5086,3,in cellulo
STARD2,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,4942,5039,1,in vitro
STARD2,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,4958,5071,5,in vitro
STARD2,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,4960,5070,7,in vitro
STARD2,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,4971,5087,3,in vitro
STARD2,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,4974,5088,3,in vitro
STARD2,Phosphatidylglycerol (32:1),3,4977,5106;5122,15,in vitro
STARD2,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,4981,5017,2,in vitro
STARD2,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,5010,5048,2,in vitro
STARD2,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,5013,5045,1,in vitro
STARD2,Hexosyl ceramide (d42:1),2,5062,5063,8,in cellulo
STARD2,Hexosyl ceramide (d42:2),2,5064,5065,4,in cellulo
STARD2,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,5073,5074,8,in cellulo
STARD2,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,5075,5076,4,in cellulo
STARD2,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,5089,5090,2,in cellulo
STARD2,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,5092,5093,2,in cellulo
STARD10,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,5140,5267,16,in cellulo
STARD10,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,5146,5337,3,in cellulo
STARD10,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,5147,5216,1,in cellulo
STARD10,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,5148,5220,2,in cellulo
STARD10,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,5149,5219,2,in cellulo
STARD10,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,5150,5214,2,in cellulo
STARD10,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,5151,5218,2,in cellulo
STARD10,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,5153,5215,5,in cellulo
STARD10,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,5168,5332,3,in cellulo
STARD10,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,5194,5292,1,in vitro
STARD10,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,5209,5317,5,in vitro
STARD10,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,5211,5316,7,in vitro
STARD10,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,5222,5333,3,in vitro
STARD10,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,5224,5334,3,in vitro
STARD10,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,5229,5259,2,in vitro
STARD10,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,5255,5299,2,in vitro
STARD10,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,5257,5296,1,in vitro
STARD10,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,5271,5366,4,in vitro
STARD10,Hexosyl ceramide (d42:1),2,5308,5309,8,in cellulo
STARD10,Hexosyl ceramide (d42:2),2,5310,5311,4,in cellulo
STARD10,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,5319,5320,8,in cellulo
STARD10,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,5321,5322,4,in cellulo
STARD10,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,5335,5336,2,in cellulo
STARD10,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,5338,5339,2,in cellulo
STARD11,Phosphatidylcholine (32:2),2,5373,5652,13,in cellulo
STARD11,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,5402,5540,16,in cellulo
STARD11,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,5408,5625,3,in cellulo
STARD11,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,5409,5477,1,in cellulo
STARD11,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,5410,5481,2,in cellulo
STARD11,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,5411,5480,2,in cellulo
STARD11,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,5412,5475,2,in cellulo
STARD11,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,5413,5479,2,in cellulo
STARD11,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,5415,5476,5,in cellulo
STARD11,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,5432,5658,1,in cellulo
STARD11,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,5436,5620,3,in cellulo
