LTPProtein,FullIdentityOfLipid,rows_merged,kept_row,dropped_rows,candidates_after,screens
STARD2,Phosphatidylcholine (36:1),2,127,673,26,in cellulo; in vitro
STARD2,Phosphatidylcholine (33:1),2,131,666,15,in cellulo; in vitro
STARD2,Phosphatidylcholine (O-36:2),2,132,362,9,in cellulo; in vitro
STARD2,Phosphatidylcholine (34:3),2,133,353,14,in cellulo; in vitro
STARD2,Phosphatidylcholine (38:3),2,134,681,19,in cellulo; in vitro
STARD2,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,136,365,1,in cellulo; in vitro
STARD2,Phosphatidylcholine (38:7),2,137,372,11,in cellulo; in vitro
STARD2,Phosphatidylcholine (38:4),3,139,682;683,22,in cellulo; in vitro
STARD2,Phosphatidylcholine (36:5),2,140,679,21,in cellulo; in vitro
STARD2,Phosphatidylcholine (35:1),2,141,671,16,in cellulo; in vitro
STARD2,Phosphatidylcholine (O-38:7),2,142,699,1,in cellulo; in vitro
STARD2,Phosphatidylcholine (O-34:1),2,148,355,9,in cellulo; in vitro
STARD10,Phosphatidylcholine (32:2),2,150,5361,13,in cellulo
STARD10,Phosphatidylcholine (36:3),2,151,386,20,in cellulo; in vitro
STARD10,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,157,5367,1,in cellulo
STARD10,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,165,5278,1,in cellulo
FABP1,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,192,6176,1,in vitro
GLTP,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,222,471,5,in vitro; in cellulo
GLTP,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,224,470,7,in vitro; in cellulo
GLTPD1,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,237,490,3,in vitro; in cellulo
GLTPD1,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,240,491,3,in vitro; in cellulo
HSDL2,Phosphatidylglycerol (32:1),3,244,7149;7172,15,in vitro
LCN15,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,248,7347,2,in vitro
PITPNA,Phosphatidylcholine (32:2),2,258,3361,13,in vitro
RLBP1,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,315,8887,2,in vitro
RLBP1,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,319,8884,1,in vitro
SCP2,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,324,9090,2,in vitro
SCP2D1,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,335,9286,16,in vitro
SCP2D1,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,339,9389,2,in vitro
STARD2,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,354,697,4,in vitro; in cellulo
STARD2,Phosphatidylcholine (32:2),2,364,665,13,in vitro; in cellulo
STARD2,Phosphatidylcholine (O-34:2),2,367,696,7,in vitro; in cellulo
STARD2,Phosphatidylcholine (O-32:1),2,373,695,6,in vitro; in cellulo
TTPA,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,392,10296,2,in vitro
TTPAL,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,403,10556,1,in vitro
TTPAL,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,412,10609,1,in vitro
TTPAL,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,422,10607,2,in vitro
BPI,Phosphatidylinositol (34:1),2,431,432,2,in cellulo
BPI,Phosphatidylserine (34:1),2,433,434,3,in cellulo
FABP1,Phosphatidylglycerol (32:1),3,447,6236;6259,15,in vitro
FABP1,Phosphatidylglycerol (33:1),2,448,449,2,in vitro
FABP1,Phosphatidylglycerol (34:2),2,451,452,2,in vitro
FABP1,Phosphatidylglycerol (35:2),2,453,454,2,in vitro
GLTP,Hexosyl ceramide (d42:1),2,462,463,8,in cellulo; in vitro
GLTP,Hexosyl ceramide (d42:2),2,464,465,4,in cellulo; in vitro
GLTP,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,473,474,8,in cellulo; in vitro
GLTP,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,475,476,4,in cellulo; in vitro
GLTPD1,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,488,489,3,in cellulo; in vitro
GLTPD1,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,492,493,2,in cellulo; in vitro
GLTPD1,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,495,496,2,in cellulo; in vitro
OSBPL9,Phosphatidylserine (34:1),2,503,504,3,in cellulo
OSBPL9,Phosphatidylserine (36:1),2,505,506,2,in cellulo
PITPNB,Phosphatidylglycerol (33:1),2,519,520,2,in vitro
PITPNB,Phosphatidylglycerol (34:2),2,521,522,2,in vitro
PITPNB,Phosphatidylglycerol (37:2),2,526,527,2,in vitro
PITPNC1,Phosphatidate (32:1),2,528,529,2,in vitro
PITPNC1,Phosphatidate (34:2),2,532,533,2,in vitro
RLBP1,Phosphatidylethanolamine (28:1),2,542,543,2,in vitro
RLBP1,Phosphatidylethanolamine (30:1),2,544,545,2,in vitro
RLBP1,Phosphatidylethanolamine (30:2),2,546,547,2,in vitro
RLBP1,Phosphatidylethanolamine (31:1),2,548,549,2,in vitro
RLBP1,Phosphatidylethanolamine (33:1),2,552,553,2,in vitro
RLBP1,Phosphatidylethanolamine (34:1),2,555,556,4,in vitro
RLBP1,Phosphatidylethanolamine (35:1),2,557,558,2,in vitro
RLBP1,Phosphatidylethanolamine (35:2),2,559,560,2,in vitro
RLBP1,Phosphatidylethanolamine (37:2),2,561,562,2,in vitro
RLBP1,Phosphatidylglycerol (28:1),2,564,565,2,in vitro
RLBP1,Phosphatidylglycerol (31:1),2,569,570,2,in vitro
RLBP1,Phosphatidylglycerol (32:1),4,571,572;586;8952,15,in vitro
RLBP1,Phosphatidylglycerol (33:1),2,574,575,2,in vitro
RLBP1,Phosphatidylglycerol (35:1),2,579,580,2,in vitro
RLBP1,Phosphatidylglycerol (35:2),2,581,582,2,in vitro
RLBP1,Phosphatidylglycerol (36:3),2,584,585,2,in vitro
RLBP1,Phosphatidylglycerophosphate (34:2),2,587,588,1,in vitro
SCP2,Phosphatidylglycerol (32:1),3,591,9231;9254,15,in vitro
SEC14L2,Phosphatidylinositol (38:2),2,602,603,2,in cellulo
