Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Experiment]	Term Source REF	Term Accession Number	Factor Value[LTP]	Term Source REF	Term Accession Number
150410_Popeye_MLH_AC_FABP7_pos_A10	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_FABP7_pos_A10	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	FABP7		
150410_Popeye_MLH_AC_FABP7_pos_A11	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_FABP7_pos_A11	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	FABP7		
150410_Popeye_MLH_AC_FABP7_pos_A12	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_FABP7_pos_A12	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	FABP7		
150410_Popeye_MLH_AC_FABP7_pos_B1	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_FABP7_pos_B1	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	FABP7		
150410_Popeye_MLH_AC_HSDL2_neg_A09	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_HSDL2_neg_A09	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	HSDL2		
150410_Popeye_MLH_AC_HSDL2_neg_A10	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_HSDL2_neg_A10	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	HSDL2		
150410_Popeye_MLH_AC_HSDL2_neg_A11	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_HSDL2_neg_A11	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	HSDL2		
150410_Popeye_MLH_AC_HSDL2_neg_A12	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_HSDL2_neg_A12	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	HSDL2		
150410_Popeye_MLH_AC_HSDL2_neg_B1	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_HSDL2_neg_B1	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	HSDL2		
150410_Popeye_MLH_AC_HSDL2_pos_A09	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_HSDL2_pos_A09	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	HSDL2		
150410_Popeye_MLH_AC_HSDL2_pos_A10	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_HSDL2_pos_A10	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	HSDL2		
150410_Popeye_MLH_AC_HSDL2_pos_A11	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_HSDL2_pos_A11	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	HSDL2		
150410_Popeye_MLH_AC_HSDL2_pos_A12	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_HSDL2_pos_A12	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	HSDL2		
150410_Popeye_MLH_AC_HSDL2_pos_B1	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_HSDL2_pos_B1	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	HSDL2		
150410_Popeye_MLH_AC_LCN15_neg_A09	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_LCN15_neg_A09	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	LCN15		
150410_Popeye_MLH_AC_LCN15_neg_A10	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_LCN15_neg_A10	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	LCN15		
150410_Popeye_MLH_AC_LCN15_neg_A11	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_LCN15_neg_A11	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	LCN15		
150410_Popeye_MLH_AC_LCN15_neg_A12	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_LCN15_neg_A12	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	LCN15		
150410_Popeye_MLH_AC_LCN15_neg_B1	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_LCN15_neg_B1	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	LCN15		
150410_Popeye_MLH_AC_LCN15_pos_A09	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_LCN15_pos_A09	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	LCN15		
150410_Popeye_MLH_AC_LCN15_pos_A10	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_LCN15_pos_A10	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	LCN15		
150410_Popeye_MLH_AC_LCN15_pos_A11	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_LCN15_pos_A11	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	LCN15		
150410_Popeye_MLH_AC_LCN15_pos_A12	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_LCN15_pos_A12	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	LCN15		
150410_Popeye_MLH_AC_LCN15_pos_B1	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_LCN15_pos_B1	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	LCN15		
150410_Popeye_MLH_AC_PTGDS_neg_A09	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_PTGDS_neg_A09	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	PTGDS		
150410_Popeye_MLH_AC_PTGDS_neg_A10	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_PTGDS_neg_A10	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	PTGDS		
150410_Popeye_MLH_AC_PTGDS_neg_A11	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_PTGDS_neg_A11	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	PTGDS		
150410_Popeye_MLH_AC_PTGDS_neg_A12	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_PTGDS_neg_A12	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	PTGDS		
150410_Popeye_MLH_AC_PTGDS_neg_B1	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_PTGDS_neg_B1	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	PTGDS		
150410_Popeye_MLH_AC_PTGDS_pos_A09	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_PTGDS_pos_A09	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	PTGDS		
150410_Popeye_MLH_AC_PTGDS_pos_A10	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_PTGDS_pos_A10	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	PTGDS		
150410_Popeye_MLH_AC_PTGDS_pos_A11	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_PTGDS_pos_A11	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	PTGDS		
150410_Popeye_MLH_AC_PTGDS_pos_A12	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_PTGDS_pos_A12	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	PTGDS		
150410_Popeye_MLH_AC_PTGDS_pos_B1	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150410_Popeye_MLH_AC_PTGDS_pos_B1	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	PTGDS		
150411_Popeye_MLH_AC_ATCAY_neg_A09	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_ATCAY_neg_A09	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	ATCAY		
150411_Popeye_MLH_AC_ATCAY_neg_A10	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_ATCAY_neg_A10	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	ATCAY		
150411_Popeye_MLH_AC_ATCAY_neg_A11	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_ATCAY_neg_A11	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	ATCAY		
150411_Popeye_MLH_AC_ATCAY_neg_A12	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_ATCAY_neg_A12	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	ATCAY		
150411_Popeye_MLH_AC_ATCAY_pos_A09	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_ATCAY_pos_A09	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	ATCAY		
150411_Popeye_MLH_AC_ATCAY_pos_A10	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_ATCAY_pos_A10	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	ATCAY		
150411_Popeye_MLH_AC_ATCAY_pos_A11	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_ATCAY_pos_A11	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	ATCAY		
150411_Popeye_MLH_AC_ATCAY_pos_A12	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_ATCAY_pos_A12	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	ATCAY		
150411_Popeye_MLH_AC_CRABP1_neg_A09	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_CRABP1_neg_A09	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	CRABP1		
150411_Popeye_MLH_AC_CRABP1_neg_A10	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_CRABP1_neg_A10	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	CRABP1		
150411_Popeye_MLH_AC_CRABP1_neg_A11	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_CRABP1_neg_A11	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	CRABP1		
150411_Popeye_MLH_AC_CRABP1_neg_A12	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_CRABP1_neg_A12	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	CRABP1		
150411_Popeye_MLH_AC_CRABP1_pos_A09	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_CRABP1_pos_A09	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	CRABP1		
150411_Popeye_MLH_AC_CRABP1_pos_A10	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_CRABP1_pos_A10	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	CRABP1		
150411_Popeye_MLH_AC_CRABP1_pos_A11	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_CRABP1_pos_A11	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	CRABP1		
150411_Popeye_MLH_AC_CRABP1_pos_A12	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_CRABP1_pos_A12	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	CRABP1		
150411_Popeye_MLH_AC_ORM2_neg_A09	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_ORM2_neg_A09	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	ORM2		
150411_Popeye_MLH_AC_ORM2_neg_A10	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_ORM2_neg_A10	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	ORM2		
150411_Popeye_MLH_AC_ORM2_neg_A11	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_ORM2_neg_A11	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	ORM2		
150411_Popeye_MLH_AC_ORM2_neg_A12	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEK-293 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000007	Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	150411_Popeye_MLH_AC_ORM2_neg_A12	cell culture	BTO	http://purl.obolibrary.org/obo/BTO_0000214	ORM2		
