stem,is_predicted
ATCAY,True
BNIPL,True
BPI,False
BPIFB2,False
CERT,False
CRABP2,False
FABP1,False
FABP5,False
FABP7,False
GLTP,False
GLTPD1,False
GM2A,False
HSDL2,False
LCN1,False
LCN15,False
OSBPL5,False
OSBPL9,False
PITPNA,False
PITPNB,False
PITPNC1,False
PMP2,False
RET1,False
RET4,False
RET5,False
RLBP1,False
SCP2,False
SCP2D1,True
SEC14L2,False
SEC14L4,False
SEC14L5,False
SEC14L6,False
STARD10,False
STARD2,False
TTPA,False
TTPAL,False
