label,exclusion_set,seed,axis,test_isolation,test_cross_mean,test_seen_lipid_share,valid_isolation,valid_cross_mean,valid_seen_lipid_share,train_rows,valid_rows,test_rows,test_positives,test_positive_rate,test_proteins,train_positives,test_block_structures,test_train_structures,balanced_accuracy,F1
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_rim_ev28,groups_GLTP,2,double_coldsplit,0.5504668951034546,0.3460753262042999,0.0,0.5706102848052979,0.37191200256347656,0.0,1713,52,50,25,0.5,2,571,84,1114,0.5,0.193548
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_rim_ev28,groups_GLTP,3,double_coldsplit,0.5533061027526855,0.34910982847213745,0.0,0.568153440952301,0.3721805214881897,0.0,1713,52,50,25,0.5,2,571,86,1114,0.44,0.125
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_rim_ev28,groups_GLTP,4,double_coldsplit,0.5611492395401001,0.361214816570282,0.0,0.5729055404663086,0.37192028760910034,0.0,1713,52,50,25,0.5,2,571,86,1114,0.44,0.3
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_rim_ev28,groups_GLTP,1,double_coldsplit,0.5654232501983643,0.3665548861026764,0.0,0.5451416969299316,0.34108948707580566,0.0,1713,52,50,25,0.5,2,571,82,1114,0.48,0.1875
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_rim_ev28,groups_GLTP,0,double_coldsplit,0.5718403458595276,0.3740769326686859,0.0,0.5444141626358032,0.3337828516960144,0.0,1713,52,50,25,0.5,2,571,83,1114,0.5,0.657534
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_rim_ev28,groups_CRAL-TRIO,3,double_coldsplit,0.7780174016952515,0.5260414481163025,0.0,0.7853944897651672,0.5265450477600098,0.0,1044,129,128,67,0.5234375,6,350,251,937,0.548691,0.438095
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_rim_ev28,groups_CRAL-TRIO,0,double_coldsplit,0.7811253666877747,0.5244553685188293,0.0,0.7878151535987854,0.5255993604660034,0.0,1044,129,128,67,0.5234375,6,350,246,937,0.586371,0.705202
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_rim_ev28,groups_CRAL-TRIO,1,double_coldsplit,0.7846261262893677,0.5289716124534607,0.0,0.7826128005981445,0.5278664827346802,0.0,1044,129,128,67,0.5234375,6,350,251,937,0.565084,0.446602
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_rim_ev28,groups_CRAL-TRIO,4,double_coldsplit,0.7860174775123596,0.5296107530593872,0.0,0.7918075919151306,0.5293230414390564,0.0,1044,129,128,67,0.5234375,6,350,267,937,0.54343,0.387755
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_rim_ev28,groups_CRAL-TRIO,2,double_coldsplit,0.7864366173744202,0.5288648009300232,0.0,0.7830600142478943,0.5284237861633301,0.0,1044,129,128,67,0.5234375,6,350,242,937,0.528505,0.354167
geometric_edge_mlp_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm_rim_ev28,groups_START,1,double_coldsplit,0.7909688353538513,0.5037722587585449,0.0,0.7913306355476379,0.5000160932540894,0.0,879,153,154,65,0.42207792207792205,3,293,680,400,0.5,0.0
