pair_id,LTPProtein,ProteinDomain,Lipid,fig3a_class
1244,BPI,LBP_BPI_CETP,PC(O-36:4)/LPC(36:4),PC-O
1245,BPI,LBP_BPI_CETP,PC(38:7),PC
1246,BPI,LBP_BPI_CETP,PC(O-40:6),PC-O
1247,BPI,LBP_BPI_CETP,PC(38:4),PC
1248,BPI,LBP_BPI_CETP,PC(36:5),PC
1249,BPI,LBP_BPI_CETP,PC(O-36:1),PC-O
1250,BPI,LBP_BPI_CETP,PC(36:6),PC
1271,BPI,LBP_BPI_CETP,PC(O-18:1)/LPC(18:1),PC-O
1272,BPI,LBP_BPI_CETP,PE(30:1),PE
1306,BPI,LBP_BPI_CETP,PE(33:1),PE
1307,BPI,LBP_BPI_CETP,PC(34:0),PC
1310,BPI,LBP_BPI_CETP,PC(40:4),PC
1311,BPI,LBP_BPI_CETP,PC(37:4),PC
1318,BPI,LBP_BPI_CETP,PE(30:0),PE
1320,BPI,LBP_BPI_CETP,PE(38:2),PE
1336,BPI,LBP_BPI_CETP,PE(36:1),PE
1342,BPI,LBP_BPI_CETP,PE(33:2),PE
1348,BPI,LBP_BPI_CETP,PC(O-20:3)/LPC(20:3),PC-O
1351,BPI,LBP_BPI_CETP,PE(35:2),PE
1354,BPI,LBP_BPI_CETP,PE(31:1),PE
1356,BPI,LBP_BPI_CETP,PC(O-36:5)/LPC(36:5),PC-O
1357,BPI,LBP_BPI_CETP,PC(O-36:6)/LPC(36:6),PC-O
1358,BPI,LBP_BPI_CETP,PC(O-37:6),PC-O
1359,BPI,LBP_BPI_CETP,PC(O-34:3),PC-O
1360,BPI,LBP_BPI_CETP,PC(O-35:5),PC-O
1361,BPI,LBP_BPI_CETP,PC(O-36:3),PC-O
1362,BPI,LBP_BPI_CETP,PC(O-34:4)/LPC(34:4),PC-O
1363,BPI,LBP_BPI_CETP,PC(40:8),PC
1364,BPI,LBP_BPI_CETP,PC(42:8),PC
1365,BPI,LBP_BPI_CETP,PC(37:5),PC
1366,BPI,LBP_BPI_CETP,PC(39:6),PC
1367,BPI,LBP_BPI_CETP,PC(O-33:3),PC-O
1368,BPI,LBP_BPI_CETP,PC(O-34:5)/LPC(34:5),PC-O
1369,BPI,LBP_BPI_CETP,PC(O-32:3),PC-O
1370,BPI,LBP_BPI_CETP,PC(34:4),PC
1371,BPI,LBP_BPI_CETP,PC(35:4),PC
1372,BPI,LBP_BPI_CETP,PC(O-38:8),PC-O
1373,BPI,LBP_BPI_CETP,PC(42:10),PC
1374,BPI,LBP_BPI_CETP,PC(O-37:4),PC-O
1375,BPI,LBP_BPI_CETP,PE(28:1),PE
1378,BPI,LBP_BPI_CETP,PE(37:2),PE
1379,BPI,LBP_BPI_CETP,PE(32:0),PE
1383,BPI,LBP_BPI_CETP,PE(30:2),PE
1388,BPI,LBP_BPI_CETP,PE(36:3),PE
1392,BPI,LBP_BPI_CETP,PE(32:2),PE
1420,BPI,LBP_BPI_CETP,PS(36:2),PS
1425,BPI,LBP_BPI_CETP,PE(28:0),PE
1426,BPI,LBP_BPI_CETP,PE(35:1),PE
1438,BPI,LBP_BPI_CETP,PI(38:2),PI
1439,BPI,LBP_BPI_CETP,PI(38:3),PI
1440,BPI,LBP_BPI_CETP,PI(38:5),PI
1441,BPI,LBP_BPI_CETP,PE(34:3),PE
1446,BPI,LBP_BPI_CETP,PC(39:4),PC
1447,BPI,LBP_BPI_CETP,PC(39:5),PC
1448,BPI,LBP_BPI_CETP,PC(40:5),PC
1449,BPI,LBP_BPI_CETP,PC(40:6),PC
1452,BPIFB2,LBP_BPI_CETP,PC(38:2),PC
1454,BPIFB2,LBP_BPI_CETP,PC(19:1),PC
1457,BPIFB2,LBP_BPI_CETP,PC(32:0),PC
1481,BPIFB2,LBP_BPI_CETP,PC(40:2),PC
1482,BPIFB2,LBP_BPI_CETP,PC(O-38:3),PC-O
1483,BPIFB2,LBP_BPI_CETP,PC(O-37:7),PC-O
1484,BPIFB2,LBP_BPI_CETP,PC(O-36:5),PC-O
1487,BPIFB2,LBP_BPI_CETP,PC(36:4),PC
1488,BPIFB2,LBP_BPI_CETP,PC(33:2),PC
1489,BPIFB2,LBP_BPI_CETP,PC(38:5),PC
1490,BPIFB2,LBP_BPI_CETP,PC(38:6),PC
1491,BPIFB2,LBP_BPI_CETP,PC(O-38:6),PC-O
1492,BPIFB2,LBP_BPI_CETP,PC(O-38:5)/LPC(38:5),PC-O
1493,BPIFB2,LBP_BPI_CETP,PC(31:0),PC
1494,BPIFB2,LBP_BPI_CETP,PC(40:7),PC
1495,BPIFB2,LBP_BPI_CETP,PC(30:2),PC
1497,BPIFB2,LBP_BPI_CETP,PC(O-38:7),PC-O
1500,BPIFB2,LBP_BPI_CETP,PC(O-40:7),PC-O
1501,BPIFB2,LBP_BPI_CETP,PC(38:3),PC
1502,BPIFB2,LBP_BPI_CETP,PC(O-36:4)/LPC(36:4),PC-O
1503,BPIFB2,LBP_BPI_CETP,PC(38:7),PC
1504,BPIFB2,LBP_BPI_CETP,PC(O-40:6),PC-O
1505,BPIFB2,LBP_BPI_CETP,PC(38:4),PC
1506,BPIFB2,LBP_BPI_CETP,PC(36:5),PC
1507,BPIFB2,LBP_BPI_CETP,PC(O-36:1),PC-O
1508,BPIFB2,LBP_BPI_CETP,PC(36:6),PC
1529,BPIFB2,LBP_BPI_CETP,PC(O-18:1)/LPC(18:1),PC-O
1565,BPIFB2,LBP_BPI_CETP,PC(34:0),PC
1568,BPIFB2,LBP_BPI_CETP,PC(40:4),PC
1569,BPIFB2,LBP_BPI_CETP,PC(37:4),PC
1606,BPIFB2,LBP_BPI_CETP,PC(O-20:3)/LPC(20:3),PC-O
1614,BPIFB2,LBP_BPI_CETP,PC(O-36:5)/LPC(36:5),PC-O
1615,BPIFB2,LBP_BPI_CETP,PC(O-36:6)/LPC(36:6),PC-O
1616,BPIFB2,LBP_BPI_CETP,PC(O-37:6),PC-O
1617,BPIFB2,LBP_BPI_CETP,PC(O-34:3),PC-O
1618,BPIFB2,LBP_BPI_CETP,PC(O-35:5),PC-O
1619,BPIFB2,LBP_BPI_CETP,PC(O-36:3),PC-O
1620,BPIFB2,LBP_BPI_CETP,PC(O-34:4)/LPC(34:4),PC-O
1621,BPIFB2,LBP_BPI_CETP,PC(40:8),PC
1622,BPIFB2,LBP_BPI_CETP,PC(42:8),PC
1623,BPIFB2,LBP_BPI_CETP,PC(37:5),PC
1624,BPIFB2,LBP_BPI_CETP,PC(39:6),PC
1625,BPIFB2,LBP_BPI_CETP,PC(O-33:3),PC-O
1626,BPIFB2,LBP_BPI_CETP,PC(O-34:5)/LPC(34:5),PC-O
1627,BPIFB2,LBP_BPI_CETP,PC(O-32:3),PC-O
1628,BPIFB2,LBP_BPI_CETP,PC(34:4),PC
1629,BPIFB2,LBP_BPI_CETP,PC(35:4),PC
1630,BPIFB2,LBP_BPI_CETP,PC(O-38:8),PC-O
1631,BPIFB2,LBP_BPI_CETP,PC(42:10),PC
1632,BPIFB2,LBP_BPI_CETP,PC(O-37:4),PC-O
1705,BPIFB2,LBP_BPI_CETP,PC(39:4),PC
1706,BPIFB2,LBP_BPI_CETP,PC(39:5),PC
1707,BPIFB2,LBP_BPI_CETP,PC(40:5),PC
1708,BPIFB2,LBP_BPI_CETP,PC(40:6),PC
1805,GLTP,GLTP,FA(17:1),FA
1809,GLTP,GLTP,FA(20:4),FA
1810,GLTP,GLTP,FA(19:1),FA
1811,GLTP,GLTP,LPE(16:0),LPE
1812,GLTP,GLTP,FA(18:2),FA
1813,GLTP,GLTP,FA(22:5),FA
1814,GLTP,GLTP,FA(20:3),FA
1815,GLTP,GLTP,FA(16:1),FA
1816,GLTP,GLTP,FA(20:5),FA
1855,GLTP,GLTP,FA(18:1),FA
1868,GLTP,GLTP,LPG(17:1),LPG
1873,GLTP,GLTP,PE(O-18:1)/LPE(18:1),LPE
1877,GLTP,GLTP,LPE(18:0),LPE
1909,GLTP,GLTP,LPE(18:1),LPE
1914,GLTP,GLTP,LPE(16:1),LPE
1915,GLTP,GLTP,LPG(16:1),LPG
1944,GLTP,GLTP,LPE(19:1),LPE
1945,GLTP,GLTP,LPG(19:1),LPG
2214,GM2A,ML,PC(34:1),PC
2215,GM2A,ML,PC(32:1),PC
2216,GM2A,ML,PC(O-32:1),PC-O
2217,GM2A,ML,PC(O-34:1),PC-O
2218,GM2A,ML,PC(36:1),PC
2219,GM2A,ML,PC(32:2),PC
2220,GM2A,ML,PC(36:3),PC
2221,GM2A,ML,PC(38:2),PC
2222,GM2A,ML,PC(30:0),PC
2223,GM2A,ML,PE(36:2),PE
2224,GM2A,ML,PC(19:1),PC
2225,GM2A,ML,PC(O-36:2),PC-O
2226,GM2A,ML,PC(O-34:2),PC-O
2228,GM2A,ML,PC(17:1),PC
2229,GM2A,ML,PC(32:0),PC
2230,GM2A,ML,PE(32:1),PE
2231,GM2A,ML,PE(38:4),PE
2232,GM2A,ML,PI(36:2),PI
2233,GM2A,ML,PI(38:4),PI
2234,GM2A,ML,PI(36:1),PI
2235,GM2A,ML,PC(36:2),PC
2236,GM2A,ML,PC(30:1),PC
2238,GM2A,ML,PC(35:2),PC
2239,GM2A,ML,PC(34:3),PC
2240,GM2A,ML,PC(35:1),PC
2241,GM2A,ML,PC(O-32:0),PC-O
2242,GM2A,ML,PC(O-32:2),PC-O
2243,GM2A,ML,PC(O-30:0)/LPC(30:0),PC-O
2263,GM2A,ML,PC(36:4),PC
2264,GM2A,ML,PC(33:2),PC
2265,GM2A,ML,PC(38:5),PC
2266,GM2A,ML,PC(38:6),PC
2267,GM2A,ML,PC(O-38:6),PC-O
2268,GM2A,ML,PC(O-38:5)/LPC(38:5),PC-O
2269,GM2A,ML,PC(31:0),PC
2270,GM2A,ML,PC(40:7),PC
2271,GM2A,ML,PC(30:2),PC
2273,GM2A,ML,PC(O-38:7),PC-O
2274,GM2A,ML,PC(34:2),PC
2277,GM2A,ML,PC(O-40:7),PC-O
2278,GM2A,ML,PC(38:3),PC
2279,GM2A,ML,PC(O-36:4)/LPC(36:4),PC-O
2280,GM2A,ML,PC(38:7),PC
2281,GM2A,ML,PC(O-40:6),PC-O
2282,GM2A,ML,PC(38:4),PC
2283,GM2A,ML,PC(36:5),PC
2284,GM2A,ML,PC(O-36:1),PC-O
2285,GM2A,ML,PC(36:6),PC
2306,GM2A,ML,PC(O-18:1)/LPC(18:1),PC-O
2307,GM2A,ML,PE(30:1),PE
2341,GM2A,ML,PE(33:1),PE
2342,GM2A,ML,PC(34:0),PC
2345,GM2A,ML,PC(40:4),PC
2346,GM2A,ML,PC(37:4),PC
2353,GM2A,ML,PE(30:0),PE
2355,GM2A,ML,PE(38:2),PE
2371,GM2A,ML,PE(36:1),PE
2377,GM2A,ML,PE(33:2),PE
2383,GM2A,ML,PC(O-20:3)/LPC(20:3),PC-O
2386,GM2A,ML,PE(35:2),PE
2389,GM2A,ML,PE(31:1),PE
2391,GM2A,ML,PC(O-36:5)/LPC(36:5),PC-O
2392,GM2A,ML,PC(O-36:6)/LPC(36:6),PC-O
2393,GM2A,ML,PC(O-37:6),PC-O
2394,GM2A,ML,PC(O-34:3),PC-O
2395,GM2A,ML,PC(O-35:5),PC-O
2396,GM2A,ML,PC(O-36:3),PC-O
2397,GM2A,ML,PC(O-34:4)/LPC(34:4),PC-O
2398,GM2A,ML,PC(40:8),PC
2399,GM2A,ML,PC(42:8),PC
2400,GM2A,ML,PC(37:5),PC
2401,GM2A,ML,PC(39:6),PC
2402,GM2A,ML,PC(O-33:3),PC-O
2403,GM2A,ML,PC(O-34:5)/LPC(34:5),PC-O
2404,GM2A,ML,PC(O-32:3),PC-O
2405,GM2A,ML,PC(34:4),PC
2406,GM2A,ML,PC(35:4),PC
2407,GM2A,ML,PC(O-38:8),PC-O
2408,GM2A,ML,PC(42:10),PC
2409,GM2A,ML,PC(O-37:4),PC-O
2410,GM2A,ML,PE(28:1),PE
2413,GM2A,ML,PE(37:2),PE
2414,GM2A,ML,PE(32:0),PE
2418,GM2A,ML,PE(30:2),PE
2423,GM2A,ML,PE(36:3),PE
2428,GM2A,ML,PE(32:2),PE
2461,GM2A,ML,PE(28:0),PE
2462,GM2A,ML,PE(35:1),PE
2474,GM2A,ML,PI(38:2),PI
2475,GM2A,ML,PI(38:3),PI
2476,GM2A,ML,PI(38:5),PI
2477,GM2A,ML,PE(34:3),PE
2482,GM2A,ML,PC(39:4),PC
2483,GM2A,ML,PC(39:5),PC
2484,GM2A,ML,PC(40:5),PC
2485,GM2A,ML,PC(40:6),PC
2488,LCN1,lipocalin,PC(36:3),PC
2489,LCN1,lipocalin,PC(38:2),PC
2491,LCN1,lipocalin,PC(19:1),PC
2494,LCN1,lipocalin,PC(17:1),PC
2495,LCN1,lipocalin,PC(32:0),PC
2502,LCN1,lipocalin,PC(35:2),PC
2503,LCN1,lipocalin,PC(35:1),PC
2504,LCN1,lipocalin,PC(O-32:0),PC-O
2505,LCN1,lipocalin,PC(O-30:0)/LPC(30:0),PC-O
2512,LCN1,lipocalin,SM(d*40:2),SM
2513,LCN1,lipocalin,SM(d*42:3),SM
2514,LCN1,lipocalin,SM(d*38:1),SM
2515,LCN1,lipocalin,SM(d*41:2),SM
2516,LCN1,lipocalin,SM(d*42:1),SM
2517,LCN1,lipocalin,SM(d*33:1),SM
2518,LCN1,lipocalin,SM(DH34:0),SM
2519,LCN1,lipocalin,SM(d*36:2),SM
2520,LCN1,lipocalin,SM(t*34:2),SM
2525,LCN1,lipocalin,PC(40:2),PC
2526,LCN1,lipocalin,PC(O-38:3),PC-O
2527,LCN1,lipocalin,PC(O-37:7),PC-O
2528,LCN1,lipocalin,PC(O-36:5),PC-O
2533,LCN1,lipocalin,PC(O-40:7),PC-O
2534,LCN1,lipocalin,PC(38:3),PC
2535,LCN1,lipocalin,PC(O-36:4)/LPC(36:4),PC-O
2536,LCN1,lipocalin,PC(38:7),PC
2537,LCN1,lipocalin,PC(O-40:6),PC-O
2538,LCN1,lipocalin,PC(38:4),PC
2539,LCN1,lipocalin,PC(36:5),PC
2540,LCN1,lipocalin,PC(O-36:1),PC-O
2541,LCN1,lipocalin,PC(36:6),PC
2562,LCN1,lipocalin,PC(O-18:1)/LPC(18:1),PC-O
2583,LCN1,lipocalin,SM(d*35:1),SM
2584,LCN1,lipocalin,SM(d*39:1),SM
2585,LCN1,lipocalin,SM(d*34:2),SM
2588,LCN1,lipocalin,SM(d*36:1),SM
2598,LCN1,lipocalin,PC(34:0),PC
2601,LCN1,lipocalin,PC(40:4),PC
2602,LCN1,lipocalin,PC(37:4),PC
2639,LCN1,lipocalin,PC(O-20:3)/LPC(20:3),PC-O
2647,LCN1,lipocalin,PC(O-36:5)/LPC(36:5),PC-O
2648,LCN1,lipocalin,PC(O-36:6)/LPC(36:6),PC-O
2649,LCN1,lipocalin,PC(O-37:6),PC-O
2650,LCN1,lipocalin,PC(O-34:3),PC-O
2651,LCN1,lipocalin,PC(O-35:5),PC-O
2652,LCN1,lipocalin,PC(O-36:3),PC-O
2653,LCN1,lipocalin,PC(O-34:4)/LPC(34:4),PC-O
2654,LCN1,lipocalin,PC(40:8),PC
2655,LCN1,lipocalin,PC(42:8),PC
2656,LCN1,lipocalin,PC(37:5),PC
2657,LCN1,lipocalin,PC(39:6),PC
2658,LCN1,lipocalin,PC(O-33:3),PC-O
2659,LCN1,lipocalin,PC(O-34:5)/LPC(34:5),PC-O
2660,LCN1,lipocalin,PC(O-32:3),PC-O
2661,LCN1,lipocalin,PC(34:4),PC
2662,LCN1,lipocalin,PC(35:4),PC
2663,LCN1,lipocalin,PC(O-38:8),PC-O
2664,LCN1,lipocalin,PC(42:10),PC
2665,LCN1,lipocalin,PC(O-37:4),PC-O
2709,LCN1,lipocalin,SM(d*32:1),SM
2710,LCN1,lipocalin,SM(d*40:1),SM
2711,LCN1,lipocalin,SM(d*42:2),SM
2738,LCN1,lipocalin,PC(39:4),PC
2739,LCN1,lipocalin,PC(39:5),PC
2740,LCN1,lipocalin,PC(40:5),PC
2741,LCN1,lipocalin,PC(40:6),PC
2746,PITPNA,IP_trans,PC(38:2),PC
2748,PITPNA,IP_trans,PC(19:1),PC
2753,PITPNA,IP_trans,PC(17:1),PC
2754,PITPNA,IP_trans,PC(31:1),PC
2757,PITPNA,IP_trans,PI(36:1),PI
2759,PITPNA,IP_trans,PC(35:2),PC
2782,PITPNA,IP_trans,PC(40:2),PC
2786,PITPNA,IP_trans,PI(34:1),PI
