pair_id,LTPProtein,ProteinDomain,Lipid,fig3a_class
4150,SEC14L6,CRAL-TRIO,PC(O-38:5)/LPC(38:5),PC-O
4151,SEC14L6,CRAL-TRIO,PC(31:0),PC
4152,SEC14L6,CRAL-TRIO,PC(40:7),PC
4153,SEC14L6,CRAL-TRIO,PC(30:2),PC
4155,SEC14L6,CRAL-TRIO,PC(O-38:7),PC-O
4156,SEC14L6,CRAL-TRIO,PC(34:2),PC
4159,SEC14L6,CRAL-TRIO,PC(O-40:7),PC-O
4160,SEC14L6,CRAL-TRIO,PC(38:3),PC
4161,SEC14L6,CRAL-TRIO,PC(O-36:4)/LPC(36:4),PC-O
4162,SEC14L6,CRAL-TRIO,PC(38:7),PC
4163,SEC14L6,CRAL-TRIO,PC(O-40:6),PC-O
4164,SEC14L6,CRAL-TRIO,PC(38:4),PC
4165,SEC14L6,CRAL-TRIO,PC(36:5),PC
4166,SEC14L6,CRAL-TRIO,PC(O-36:1),PC-O
4167,SEC14L6,CRAL-TRIO,PC(36:6),PC
4188,SEC14L6,CRAL-TRIO,PC(O-18:1)/LPC(18:1),PC-O
4189,SEC14L6,CRAL-TRIO,PE(30:1),PE
4223,SEC14L6,CRAL-TRIO,PE(33:1),PE
4224,SEC14L6,CRAL-TRIO,PC(34:0),PC
4227,SEC14L6,CRAL-TRIO,PC(40:4),PC
4228,SEC14L6,CRAL-TRIO,PC(37:4),PC
4235,SEC14L6,CRAL-TRIO,PE(30:0),PE
