pair_id,LTPProtein,ProteinDomain,FullIdentityOfLipid,Lipid,Screen,nearest_positive_lipid_same_protein,nearest_positive_tanimoto,exact_lipid_positive_family_protein_count,exact_lipid_positive_family_proteins,same_screen_family_protein_count,same_screen_family_proteins
5438,STARD11,START,Phosphatidylcholine (34:2),PC(34:2),in cellulo,Phosphatidylcholine (34:1),1.0,2,STARD10;STARD2,2,STARD10;STARD2
5375,STARD11,START,Phosphatidylcholine (36:3),PC(36:3),in cellulo,Phosphatidylcholine (34:1),0.9454545454545454,2,STARD10;STARD2,2,STARD10;STARD2
5397,STARD11,START,Phosphatidylcholine (34:3),PC(34:3),in cellulo,Phosphatidylcholine (34:1),0.9454545454545454,2,STARD10;STARD2,2,STARD10;STARD2
5427,STARD11,START,Phosphatidylcholine (36:4),PC(36:4),in cellulo,Phosphatidylcholine (34:1),0.9444444444444444,2,STARD10;STARD2,2,STARD10;STARD2
5429,STARD11,START,Phosphatidylcholine (38:5),PC(38:5),in cellulo,Phosphatidylcholine (34:1),0.9444444444444444,2,STARD10;STARD2,2,STARD10;STARD2
5430,STARD11,START,Phosphatidylcholine (38:6),PC(38:6),in cellulo,Phosphatidylcholine (34:1),0.9444444444444444,2,STARD10;STARD2,2,STARD10;STARD2
5434,STARD11,START,Phosphatidylcholine (40:7),PC(40:7),in cellulo,Phosphatidylcholine (34:1),0.9444444444444444,2,STARD10;STARD2,2,STARD10;STARD2
5446,STARD11,START,Phosphatidylcholine (38:4),PC(38:4),in cellulo,Phosphatidylcholine (34:1),0.9444444444444444,2,STARD10;STARD2,2,STARD10;STARD2
5444,STARD11,START,Phosphatidylcholine (38:7),PC(38:7),in cellulo,Phosphatidylcholine (34:1),0.9090909090909091,2,STARD10;STARD2,2,STARD10;STARD2
10310,TTPA,CRAL-TRIO,Cardiolipin (70:3),CL(70:3),in vitro,Phosphatidylglycerol (32:2),0.9038461538461539,2,RLBP1;TTPAL,2,RLBP1;TTPAL
10312,TTPA,CRAL-TRIO,Cardiolipin (69:3),CL(69:3),in vitro,Phosphatidylglycerol (32:2),0.9038461538461539,2,RLBP1;TTPAL,2,RLBP1;TTPAL
10316,TTPA,CRAL-TRIO,Cardiolipin (67:2),CL(67:2),in vitro,Phosphatidylglycerol (32:2),0.9038461538461539,2,RLBP1;TTPAL,2,RLBP1;TTPAL
10372,TTPA,CRAL-TRIO,Cardiolipin (68:3),CL(68:3),in vitro,Phosphatidylglycerol (32:2),0.9038461538461539,2,RLBP1;TTPAL,2,RLBP1;TTPAL
10431,TTPA,CRAL-TRIO,Phosphatidylglycerol (28:0),PG(28:0),in vitro,Phosphatidylglycerol (32:1);Bismonoacylglycerolphosphate (32:1),0.875,2,RLBP1;TTPAL,2,RLBP1;TTPAL
756,ATCAY,CRAL-TRIO,Phosphatidylcholine (O-32:1),PC(O-32:1),in cellulo,Phosphatidylcholine (34:1),0.8571428571428571,2,BNIPL;SEC14L6,2,BNIPL;SEC14L6
1067,BNIPL,CRAL-TRIO,Phosphatidylcholine (32:1),PC(32:1),in cellulo,Phosphatidylcholine (O-32:1),0.8571428571428571,2,ATCAY;SEC14L6,2,ATCAY;SEC14L6
8705,RLBP1,CRAL-TRIO,Phosphatidylcholine (O-32:1),PC(O-32:1),in cellulo,Phosphatidylcholine (34:1),0.8571428571428571,2,BNIPL;SEC14L6,2,BNIPL;SEC14L6
10462,TTPAL,CRAL-TRIO,Phosphatidylcholine (O-32:1),PC(O-32:1),in cellulo,Phosphatidylcholine (36:2),0.8571428571428571,2,BNIPL;SEC14L6,2,BNIPL;SEC14L6
5370,STARD11,START,Phosphatidylcholine (O-32:1),PC(O-32:1),in cellulo,Phosphatidylcholine (34:1),0.8571428571428571,2,STARD10;STARD2,2,STARD10;STARD2
5371,STARD11,START,Phosphatidylcholine (O-34:1),PC(O-34:1),in cellulo,Phosphatidylcholine (34:1),0.8571428571428571,2,STARD10;STARD2,2,STARD10;STARD2
5381,STARD11,START,Phosphatidylcholine (O-36:2),PC(O-36:2),in cellulo,Phosphatidylcholine (34:1),0.8545454545454545,2,STARD10;STARD2,2,STARD10;STARD2
5382,STARD11,START,Phosphatidylcholine (O-34:2),PC(O-34:2),in cellulo,Phosphatidylcholine (34:1),0.8275862068965517,2,STARD10;STARD2,2,STARD10;STARD2
5443,STARD11,START,Phosphatidylcholine (O-36:4); Lysophosphatidylcholine (36:4),PC(O-36:4)/LPC(36:4),in cellulo,Phosphatidylcholine (34:1),0.7704918032786885,2,STARD10;STARD2,2,STARD10;STARD2
10325,TTPA,CRAL-TRIO,Phosphatidylethanolamine (36:1),PE(36:1),in vitro,Phosphatidylglycerol (32:1);Bismonoacylglycerolphosphate (32:1),0.75,2,RLBP1;TTPAL,2,RLBP1;TTPAL
5432,STARD11,START,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),PC(O-38:5)/LPC(38:5),in cellulo,Phosphatidylcholine (34:1),0.75,2,STARD10;STARD2,2,STARD10;STARD2
4429,SEC14L2,CRAL-TRIO,Cardiolipin (70:3),CL(70:3),in vitro,Phosphatidylinositol (36:2),0.7413793103448276,2,RLBP1;TTPAL,2,RLBP1;TTPAL
4431,SEC14L2,CRAL-TRIO,Cardiolipin (69:3),CL(69:3),in vitro,Phosphatidylinositol (36:2),0.7413793103448276,2,RLBP1;TTPAL,2,RLBP1;TTPAL
4435,SEC14L2,CRAL-TRIO,Cardiolipin (67:2),CL(67:2),in vitro,Phosphatidylinositol (36:2),0.7413793103448276,2,RLBP1;TTPAL,2,RLBP1;TTPAL
4496,SEC14L2,CRAL-TRIO,Cardiolipin (68:3),CL(68:3),in vitro,Phosphatidylinositol (36:2),0.7413793103448276,2,RLBP1;TTPAL,2,RLBP1;TTPAL
4374,SEC14L2,CRAL-TRIO,Phosphatidylglycerol (36:2),PG(36:2),in vitro,Phosphatidylinositol (36:2),0.7096774193548387,2,RLBP1;TTPAL,2,RLBP1;TTPAL
5373,STARD11,START,Phosphatidylcholine (32:2),PC(32:2),in cellulo,Phosphatidylcholine (34:1),1.0,2,STARD10;STARD2,1,STARD10
5377,STARD11,START,Phosphatidylcholine (38:2),PC(38:2),in cellulo,Phosphatidylcholine (34:1),1.0,2,STARD10;STARD2,1,STARD10
5396,STARD11,START,Phosphatidylcholine (35:2),PC(35:2),in cellulo,Phosphatidylcholine (34:1),1.0,2,STARD10;STARD2,1,STARD10
779,ATCAY,CRAL-TRIO,Phosphatidylcholine (36:2),PC(36:2),in cellulo,Phosphatidylcholine (34:1),1.0,2,RLBP1;TTPAL,0,
4594,SEC14L6,CRAL-TRIO,Phosphatidylcholine (36:2),PC(36:2),in cellulo,Phosphatidylcholine (33:1),1.0,2,RLBP1;TTPAL,0,
1090,BNIPL,CRAL-TRIO,Phosphatidylcholine (36:2),PC(36:2),in cellulo,Phosphatidylcholine (O-32:1),0.8571428571428571,2,RLBP1;TTPAL,0,
758,ATCAY,CRAL-TRIO,Phosphatidylcholine (36:1),PC(36:1),in cellulo,Phosphatidylcholine (34:1),1.0,1,SEC14L6,1,SEC14L6
759,ATCAY,CRAL-TRIO,Phosphatidylcholine (32:2),PC(32:2),in cellulo,Phosphatidylcholine (34:1),1.0,1,SEC14L6,1,SEC14L6
762,ATCAY,CRAL-TRIO,Phosphatidylcholine (33:1),PC(33:1),in cellulo,Phosphatidylcholine (34:1),1.0,1,SEC14L6,1,SEC14L6
1068,BNIPL,CRAL-TRIO,Phosphatidylcholine (O-34:1),PC(O-34:1),in cellulo,Phosphatidylcholine (O-32:1),1.0,1,SEC14L6,1,SEC14L6
8707,RLBP1,CRAL-TRIO,Phosphatidylcholine (36:1),PC(36:1),in cellulo,Phosphatidylcholine (34:1),1.0,1,SEC14L6,1,SEC14L6
8708,RLBP1,CRAL-TRIO,Phosphatidylcholine (32:2),PC(32:2),in cellulo,Phosphatidylcholine (34:1),1.0,1,SEC14L6,1,SEC14L6
8709,RLBP1,CRAL-TRIO,Phosphatidylcholine (36:3),PC(36:3),in cellulo,Phosphatidylcholine (38:3),1.0,1,SEC14L6,1,SEC14L6
8710,RLBP1,CRAL-TRIO,Phosphatidylcholine (33:1),PC(33:1),in cellulo,Phosphatidylcholine (34:1),1.0,1,SEC14L6,1,SEC14L6
8829,RLBP1,CRAL-TRIO,Bismonoacylglycerolphosphate (32:2);Phosphatidylglycerol (32:2),PG/BMP(32:2),in vitro,Phosphatidylglycerol (38:2);Bismonoacylglycerolphosphate (38:2),1.0,1,TTPA,1,TTPA
8834,RLBP1,CRAL-TRIO,Phosphatidylglycerol (32:1);Bismonoacylglycerolphosphate (32:1),PG/BMP(32:1),in vitro,Phosphatidylglycerol (38:2);Bismonoacylglycerolphosphate (38:2),1.0,1,TTPA,1,TTPA
8884,RLBP1,CRAL-TRIO,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),PG/BMP(38:2),in vitro,Phosphatidylglycerol (38:2);Bismonoacylglycerolphosphate (38:2),1.0,1,TTPAL,1,TTPAL
8951,RLBP1,CRAL-TRIO,Phosphatidylglycerol (32:0),PG(32:0),in vitro,Phosphatidylglycerol (28:0),1.0,1,TTPAL,1,TTPAL
10327,TTPA,CRAL-TRIO,Phosphatidylglycerol (38:2);Bismonoacylglycerolphosphate (38:2),PG/BMP(38:2),in vitro,Phosphatidylglycerol (32:1);Bismonoacylglycerolphosphate (32:1),1.0,1,RLBP1,1,RLBP1
