LTP,Lipid,Lipid Chains,Lipid SMILES,Lipid Volumes (Å3)
GLTP,HexCer(t*34:2),Hexosyl ceramide (t*34:2),[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CC/C=C(/C)\CCCCCCCC,614.75300000000004
GLTP,HexCer(t*36:2),Hexosyl ceramide (t*36:2),[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/C=C\CCCCCCC,639.79150000000004
GLTP,HexCer(t*40:1),Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,688.95299999999997
GLTP,HexCer(t*40:1),Hexosyl ceramide (t*40:1),[C@](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,693.71849999999995
GLTP,HexCer(t*40:2),Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/C=C\CCCCCCCCC,693.60199999999998
GLTP,HexCer(t*40:2),Hexosyl ceramide (t*40:2),[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCC/C=C\CCC,694.33399999999995
GLTP,HexCer(t*41:1),Hexosyl ceramide (t*41:1),[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,708.56
GLTP,HexCer(t*41:2),Hexosyl ceramide (t*41:2),C([C@H](NC([C@H](O)CCCCCCCCCCCCCCCCCCCC)=O)[C@H](O)/C=C/CC/C=C(/C)\CCCCCCCCC)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1,22.449300000000001
GLTP,HexCer(t*42:1),Hexosyl ceramide (t*42:1),CCCCCCCCCCC/C=C/C[C@@]([H])(O)[C@@]([H])(NC(=O)CCCCCCCCCCCCCCCCCCCCCCCC)CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1,721.65200000000004
GLTP,HexCer(t*42:1),Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,721.9140000000001
GLTP,HexCer(t*42:2),Hexosyl ceramide (t*42:2),[C@](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,720.26475000000005
GLTP,HexCer(t*42:2),Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),[C@](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,720.26475000000005
GLTP,HexCer(t*42:3),Hexosyl ceramide (t*42:3),C([C@H](NC([C@H](O)CCCCCCCCCCCCCCCCCCCCCC)=O)[C@H](O)/C=C/CC/C=C\C=C/CCCCCCC)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1,22.449300000000001
GLTP,HexCer(t*44:2),Hexosyl ceramide (t44:2);Hexosyl ceramide (d44:2-OH),[C@](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)([H])(NC(CCCCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,747.26700000000005
GLTP,LPE(17:1),Lysophosphatidylethanolamine (17:1) => (17:1),[C@](COP(=O)(O)OCCN)([H])(O)COC(CCCCCCC/C=C\CCCCCCC)=O,391.79719999999998
GLTP,LPE(O-18:1),Lysophosphatidylethanolamine (O-18:1),[C@](COP(=O)(O)OCCN)([H])(O)COCCCCCCCC/C=C\CCCCCCCC,399.45500000000004
GLTP,LPG(18:1),Lysophosphatidylglycerol (18:1),[H][C@](O)(CO)COP(OC[C@]([H])(O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O,420.66019999999997
GLTP,PE(O-16:0)/LPE(16:0),Phosphatidylethanolamine (O-16:0);Lysophosphatidylethanolamine (16:0),[C@](COP(=O)(O)OCCN)([H])(O)COCCCCCCCCCCCCCCCC,374.70299999999997
GLTP,PE(O-16:1)/LPE(16:1),Lysophosphatidylethanolamine (16:1);Phosphatidylethanolamine (O-16:1),[C@](COP(=O)(O)OCCN)([H])(O)COC(CCCCCCC/C=C\CCCCCC)=O,379.08100000000002
GLTP,SHexCer(d*42:1),Sulfohexosyl ceramide (d42:1);Sulfohexosyl ceramide (DH42:1),[C@](CO[C@H]1[C@H](O)[C@@H](OS(=O)(O)=O)[C@@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,757.91
GLTP,SHexCer(d*42:2),Sulfohexosyl ceramide (d42:2);Sulfohexosyl ceramide (DH42:2),[C@](CO[C@H]1[C@H](O)[C@@H](OS(=O)(O)=O)[C@@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,756.56100000000004
GLTPD1,CerP(d*32:1),Ceramide phosphate (d*32:1),[C@](COP(=O)(O)O)([H])(NC(CCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,515.80899999999997
GLTPD1,CerP(d*32:2),Ceramide phosphate (d*32:2),[C@](COP(=O)(O)O)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/C=C\CCCCCCCCC,516.53899999999999
GLTPD1,CerP(d*33:1),Ceramide phosphate (d*33:1),[C@](COP(=O)(O)O)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCC,529.94500000000005
GLTPD1,CerP(d*34:1),Ceramide phosphate (d*34:1),[C@](COP(=O)(O)O)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,542.42100000000005
GLTPD1,CerP(d*34:2),Ceramide phosphate (d*34:2),[C@](COP(=O)(O)O)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/C=C\CCCCCCCCCCC,540.83799999999997
GLTPD1,CerP(d*36:1),Ceramide phosphate (d*36:1),[C@](COP(=O)(O)O)([H])(NC(CCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,569.03599999999994
GLTPD1,CerP(d*36:2),Ceramide phosphate (d*36:2),[C@](COP(=O)(O)O)([H])(NC(CCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/C=C\CCCCCCCCCCC,570.14
GLTPD1,CerP(d*40:1),Ceramide phosphate (d*40:1),[C@](COP(=O)(O)O)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,626.51300000000003
GLTPD1,CerP(d*42:2),Ceramide phosphate (d*42:2),[C@](COP(=O)(O)O)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,649.07799999999997
GLTPD1,CerP(d*42:3),Ceramide phosphate (d*42:3),[C@](COP(=O)(O)O)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/C=C\CCCCCCCCCCC,651.28300000000002
GLTPD1,PG/BMP(30:1),Bismonoacylglycerolphosphate (30:1);Phosphatidylglycerol (30:1) => (16:1/14:0),[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O,592.44740000000002
GLTPD1,PG/BMP(32:2),Bismonoacylglycerolphosphate (32:2);Phosphatidylglycerol (32:2) => (16:1/16:1),[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O,618.20799999999997
GLTPD1,SM(d*32:1),Sphingomyelin (d*32:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,594.26599999999996
GLTPD1,SM(d*33:1),Sphingomyelin (d*33:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC,609.84550000000002
GLTPD1,SM(d*33:1),Sphingomyelin (d33:1);Sphingomyelin (DH33:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC,609.84550000000002
GLTPD1,SM(d*34:1),Sphingomyelin (d*34:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC,623.91399999999999
GLTPD1,SM(d*34:1),Sphingomyelin (d34:1);Sphingomyelin (DH34:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,625.30999999999995
GLTPD1,SM(d*34:2),Sphingomyelin (d34:2);Sphingomyelin (DH34:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCC/C=C\CCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,622.79300000000001
GLTPD1,SM(d*34:2),Sphingomyelin (d*34:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCC/C=C\CCC,623.95799999999997
GLTPD1,SM(d*35:1),Sphingomyelin (d35:1);Sphingomyelin (DH35:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCCC,638.53700000000003
GLTPD1,SM(d*36:1),Sphingomyelin (d36:1);Sphingomyelin (DH36:1),O(P(=O)(OC[C@]([H])(NC(=O)CCCCCCCCCCCCCCCCC)[C@]([H])(O)/C=C/CCCCCCCCCCCCC)[O-])CC[N+](C)(C)C,652.495
GLTPD1,SM(d*36:1),Sphingomyelin (d*36:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC,656.03
GLTPD1,SM(d*36:2),Sphingomyelin (d*36:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCC/C=C\CCC,652.38699999999994
GLTPD1,SM(d*36:2),Sphingomyelin (d36:2);Sphingomyelin (DH36:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCC/C=C\C/C=C\CCCCC)=O)[C@]([H])(O)CCCCCCCCCCCCCCC,650.78099999999995
GLTPD1,SM(d*38:1),Sphingomyelin (d*38:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC,679.56399999999996
GLTPD1,SM(d*38:1),Sphingomyelin (d38:1);Sphingomyelin (DH38:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,678.28300000000002
GLTPD1,SM(d*39:1),Sphingomyelin (d39:1);Sphingomyelin (DH39:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,694.15200000000004
GLTPD1,SM(d*40:1),Sphingomyelin (d*40:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,707.1345
GLTPD1,SM(d*40:1),Sphingomyelin (d40:1);Sphingomyelin (DH40:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,707.1345
GLTPD1,SM(d*40:2),Sphingomyelin (d*40:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,703.56299999999999
GLTPD1,SM(d*40:2),Sphingomyelin (d40:2);Sphingomyelin (DH40:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC,705.96799999999996
GLTPD1,SM(d*41:2),Sphingomyelin (d*41:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCC/C=C\CCC,717.10900000000004
GLTPD1,SM(d*41:2),Sphingomyelin (d41:2);Sphingomyelin (DH41:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCC,718.16
GLTPD1,SM(d*42:1),Sphingomyelin (d*42:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,731.31399999999996
GLTPD1,SM(d*42:1),Sphingomyelin (d42:1);Sphingomyelin (DH42:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,731.31399999999996
GLTPD1,SM(d*42:2),Sphingomyelin (d*42:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,729.47849999999994
GLTPD1,SM(d*42:2),Sphingomyelin (d42:2);Sphingomyelin (DH42:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,729.47849999999994
GLTPD1,SM(d*42:3),Sphingomyelin (d*42:3),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCC/C=C\CCC,730.60349999999994
GLTPD1,SM(d*42:3),Sphingomyelin (d42:3);Sphingomyelin (DH42:3),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCC/C=C\CCC,730.60349999999994
GLTPD1,SM(DH34:0),Sphingomyelin (DH34:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCC)=O)[C@]([H])(O)CCCCCCCCCCCCCCCCC,625.98199999999997
GLTPD1,SM(DH34:0),Sphingomyelin (DH34:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCC)=O)[C@]([H])(O)CCCCCCCCCCCCCCCCC,625.98199999999997
GLTPD1,SM(t*34:2),Sphingomyelin (t*34:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/C=C\CCCCCCCCC,622.25
GM2A,PC(31:1),Phosphatidylcholine (31:1) => (16:1/15:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCC)=O,630.34975000000009
GM2A,PC(33:1),Phosphatidylcholine (33:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCC)=O)COC(CCCCCCCCCCCCCCCCCC)=O,658
GM2A,PC(40:2),Phosphatidylcholine (40:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O,749.64
GM2A,PC(O-36:5),Phosphatidylcholine (O-36:5),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COCCCCCCCC/C=C\CCCCCC,686.69500000000005
GM2A,PC(O-37:7),Phosphatidylcholine (O-37:7),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COCCCCCCCC/C=C\C/C=C\C/C=C\C,698.27300000000002
GM2A,PC(O-38:3),Phosphatidylcholine (O-38:3),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COCCCCCCCCCCCCCCCCCC,717.476
GM2A,PE(34:1),Phosphatidylethanolamine (34:1) => (18:1/16:0),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,630.95049999999992
GM2A,PE(34:2),Phosphatidylethanolamine (34:2) => (16:1/18:1),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O,628.649
GM2A,PG/BMP(38:3),Phosphatidylglycerol (38:3); Bismonoacylglycerolphosphate (38:3) => (20:2/18:1),[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O)(=O)O,696.31399999999996
GM2A,PI(34:1),Phosphatidylinositol (34:1) =>(18:1/16:0),[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCCCCCCCC)=O,700.25049999999999
HSDL2,FA(22:3),docosatrienoate => (22:3),C(CCCCCCCC/C=C\C/C=C\C/C=C\CCCCC)(=O)O,315.28899999999999
HSDL2,PG(32:1),Phosphatidylglycerol (32:1) => (16:1/16:0),[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O,617.43529999999987
HSDL2,TAG(32:0),Triacylglycerol (32:0) => (12:0/12:0/8:0),C(OC(=O)CCCCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O,636.52099999999996
HSDL2,TAG(54:2),Triacylglycerol (54:2) => (18:1/18:1/18:0),C(OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O,821.64
HSDL2,TAG(56:5),Triacylglycerol (56:5),C(OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)[C@]([H])(OC(CCCCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O,841.83
LCN1,PC(30:0),Phosphatidylcholine (30:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCCCC)=O,617.6345
LCN1,PC(30:1),Phosphatidylcholine (30:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O,616.72866666666664
LCN1,PC(30:2),Phosphatidylcholine (30:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCC)=O,616.69399999999996
LCN1,PC(31:0),Phosphatidylcholine (31:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCC)=O,630.57000000000005
LCN1,PC(31:1),Phosphatidylcholine (31:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCC)=O)COC(CCCCCCCCCCCCCCCC)=O,630.86599999999999
LCN1,PC(32:1),Phosphatidylcholine (32:1) => (16:1/16:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,643.02459999999996
LCN1,PC(32:2),Phosphatidylcholine (32:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O,643.18349999999998
LCN1,PC(33:1),Phosphatidylcholine (33:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCC)=O)COC(CCCCCCCCCCCCCCCCCC)=O,658
LCN1,PC(33:2),Phosphatidylcholine (33:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O,655.54300000000001
LCN1,PC(34:1),Phosphatidylcholine (34:1) => (18:1/16:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,671.3506666666666
LCN1,PC(34:2),Phosphatidylcholine (34:2) => (16:1/18:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCC/C=C\CCCCCC)=O,667.44200000000001
LCN1,PC(34:3),Phosphatidylcholine (34:3),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCC)=O)COC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O,669.69650000000001
LCN1,PC(36:1),Phosphatidylcholine (36:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O,698.15824999999995
LCN1,PC(36:2),Phosphatidylcholine (36:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCC)=O)COC(CCCCCCCCCCC/C=C\C/C=C\CCCCC)=O,696.36699999999996
LCN1,PC(36:4),Phosphatidylcholine (36:4),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCCCC/C=C\CCCCCC)=O,694.91600000000005
LCN1,PC(38:5),Phosphatidylcholine (38:5),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O,718.02800000000002
LCN1,PC(38:6),Phosphatidylcholine (38:6),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O,716.98699999999997
LCN1,PC(40:7),Phosphatidylcholine (40:7),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O,746.149
LCN1,PC(O-32:1),Phosphatidylcholine (O-32:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COCCCCCCCCCCCCCC,637.16800000000001
LCN1,PC(O-32:2),Phosphatidylcholine (O-32:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COCCCCCCCCCCCCCC,636.78700000000003
LCN1,PC(O-34:1),Phosphatidylcholine (O-34:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCC)=O)CO/C=C\CCCCCCCCCCCCCCCCCC,663.83750000000009
LCN1,PC(O-34:2),Phosphatidylcholine (O-34:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)CO/C=C\CCCCCCCCCCCCCCCC,663.26
LCN1,PC(O-36:2),Phosphatidylcholine (O-36:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COCCCCCCCCCCCCCCCCCC,688.58399999999995
LCN1,PC(O-38:5)/LPC(38:5),Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COCCCCCCCCCCCCCCCC,717.46350000000007
LCN1,PC(O-38:6),Phosphatidylcholine (O-38:6),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)CO/C=C\CCCCCCCCCCCCCCCC,705.98299999999995
LCN1,PC(O-38:7),Phosphatidylcholine (O-38:7),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)CO/C=C\CCCCCCCCCCCCCC,712.00433333333331
LCN1,SM(d*34:1),Sphingomyelin (d*34:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC,623.91399999999999
LCN15,PG(32:2),Phosphatidylglycerol (32:2) => (16:1/16:1),[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O,617.55050000000006
LCN15,PG/BMP(32:1),Phosphatidylglycerol (32:1);Bismonoacylglycerolphosphate (32:1) => (16:1/16:0),[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O,617.43529999999987
