LTP,Lipid,Lipid Chains,Lipid SMILES,Lipid Volumes (Å3)
BPI,PC(O-34:1),Phosphatidylcholine (O-34:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COCCCCCCCCCCCCCCCCCC,663.24450000000002
BPI,PC(O-34:2),Phosphatidylcholine (O-34:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)CO/C=C\CCCCCCCCCCCCCC,662.04200000000003
BPI,PC(O-36:2),Phosphatidylcholine (O-36:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCCCC)=O)CO/C=C\CCCCCC/C=C\CCCCCCCC,691.21333333333348
BPI,PE(32:1),Phosphatidylethanolamine (32:1) => (16:1/16:0),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,603.38739999999996
BPI,PE(34:1),Phosphatidylethanolamine (34:1) => (18:1/16:0),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,630.95049999999992
BPI,PE(34:2),Phosphatidylethanolamine (34:2) => (16:1/18:1),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O,628.649
BPI,PE(36:2),Phosphatidylethanolamine (36:2) => (18:1/18:1),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O,655.18366666666668
BPI,PE(38:4),Phosphatidylethanolamine (38:4) => (18:0/20:4),[C@](COP(=O)(O)OCCN)([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,679.02499999999998
BPI,PI(34:1),Phosphatidylinositol (34:1) => (16:0/18:1),[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCC/C=C\CCCCCCCC)=O,699.41550000000007
BPI,PI(34:1),Phosphatidylinositol (34:1) => (18:1/16:0),[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCC/C=C\CCCCCCCC)=O,699.41550000000007
BPI,PI(36:1),Phosphatidylinositol (36:1) => (18:1/18:0),[C@]([H])(OC(CCCCCCCCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCC/C=C\CCCCCCCC)=O,726.92049999999995
BPI,PI(36:2),Phosphatidylinositol (36:2) => (18:1/18:1),[C@]([H])(OC(CCCCCCCCCCC/C=C\C/C=C\CCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCCCCCC)=O,726.91600000000005
BPI,PI(38:4),Phosphatidylinositol (38:4) => (18:0/20:4),[C@]([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCCCCCCCCCC)=O,749.55020000000002
BPI,PS(34:1),Phosphatidylserine (34:1) => (18:1/16:0),C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O,655.90750000000003
BPI,PS(34:1),Phosphatidylserine (34:1) => (16:0/18:1),C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O,655.90750000000003
BPI,PS(36:1),Phosphatidylserine (36:1) => (18:1/18:0),C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O,680.471
BPIFB2,BMP(36:2),Bismonoacylglycerolphosphate (36:2) => (18:1/18:1),O(P(OC[C@](OC(CCCCCCC/C=C\CCCCCCCC)=O)([H])CO)(O)=O)C[C@@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)CO,672.60599999999999
BPIFB2,PC(17:1),Phosphatidylcholine (17:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(C=C)=O)COC(CCCCCCCCCCCCC)=O,438.94799999999998
BPIFB2,PC(30:0),Phosphatidylcholine (30:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCCCC)=O,617.6345
BPIFB2,PC(30:1),Phosphatidylcholine (30:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCC)=O,616.66700000000003
BPIFB2,PC(31:1),Phosphatidylcholine (31:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCC)=O,630.34975000000009
BPIFB2,PC(32:1),Phosphatidylcholine (32:1) => (18:1/14:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCC)=O,643.58166666666659
BPIFB2,PC(32:2),Phosphatidylcholine (32:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O,642.95299999999997
BPIFB2,PC(33:1),Phosphatidylcholine (33:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCC)=O,656.84249999999997
BPIFB2,PC(34:1),Phosphatidylcholine (34:1) => (18:1/16:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,671.3506666666666
BPIFB2,PC(34:2),Phosphatidylcholine (34:2) => (18:1/16:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(/C=C\CCCCCCCCCCCCC)=O,669.79433333333338
