source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic
0,1,1.0,0,0,0,0,0
1,0,1.0,0,0,0,0,0
1,2,1.0,0,0,0,0,0
2,1,1.0,0,0,0,0,0
2,3,1.0,0,0,0,0,0
3,2,1.0,0,0,0,0,0
3,4,1.0,0,0,0,4,0
4,3,1.0,0,0,0,4,0
4,5,2.0,0,0,2,0,0
5,4,2.0,0,0,2,0,0
5,6,1.0,0,0,0,3,0
6,5,1.0,0,0,0,3,0
6,7,1.0,0,0,0,4,0
7,6,1.0,0,0,0,4,0
7,8,2.0,0,0,2,0,0
8,7,2.0,0,0,2,0,0
8,9,1.0,0,0,0,3,0
9,8,1.0,0,0,0,3,0
9,10,1.0,0,0,0,4,0
10,9,1.0,0,0,0,4,0
10,11,2.0,0,0,3,0,0
11,10,2.0,0,0,3,0,0
11,12,1.0,0,0,0,4,0
12,11,1.0,0,0,0,4,0
12,13,1.0,0,0,0,4,0
13,12,1.0,0,0,0,4,0
13,14,2.0,0,0,2,0,0
14,13,2.0,0,0,2,0,0
14,15,1.0,0,0,0,3,0
15,14,1.0,0,0,0,3,0
15,16,1.0,0,0,0,4,0
16,15,1.0,0,0,0,4,0
16,17,2.0,0,0,3,0,0
17,16,2.0,0,0,3,0,0
17,18,1.0,0,0,0,4,0
18,17,1.0,0,0,0,4,0
18,19,1.0,0,0,0,0,0
19,18,1.0,0,0,0,0,0
0,20,2.0,1,0,0,0,0
20,0,2.0,1,0,0,0,0
0,21,1.0,1,0,0,0,0
21,0,1.0,1,0,0,0,0
