SmileGlobal,SmileFragment,LTPProtein,ProteinDomain,FullIdentityOfLipid,Lipid,Screen,Novel
[C@](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)([H])(NC(CCCCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,0,GLTP,GLTP,Hexosyl ceramide (t44:2);Hexosyl ceramide (d44:2-OH),HexCer(t*44:2),in vitro,known
[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,0,GLTP,GLTP,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),HexCer(t*40:1),in vitro,known
[C@](CO[C@H]1[C@H](O)[C@@H](OS(=O)(O)=O)[C@@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,0,GLTP,GLTP,Sulfohexosyl ceramide (d42:1);Sulfohexosyl ceramide (DH42:1),SHexCer(d*42:1),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,0,GLTPD1,GLTP,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),SM(d*42:1),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCC/C=C\C/C=C\CCCCC)=O)[C@]([H])(O)CCCCCCCCCCCCCCC,0,GLTPD1,GLTP,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),SM(d*36:2),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCC/C=C\CCC,0,GLTPD1,GLTP,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),SM(d*42:3),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCCC,0,GLTPD1,GLTP,Sphingomyelin (d35:1);Sphingomyelin (DH35:1),SM(d*35:1),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC,0,GLTPD1,GLTP,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),SM(d*33:1),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCC,0,GLTPD1,GLTP,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),SM(d*41:2),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,0,GLTPD1,GLTP,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),SM(d*38:1),in vitro,new
