ProteinDomain,row_count,positive_count,negative_count,unique_lipid_count,unique_full_identity_count,encoded_lipid_count,tanimoto_mean,tanimoto_median,tanimoto_p10,tanimoto_p90,tanimoto_min,tanimoto_max
CRAL-TRIO,204,204,0,106,109,989,0.7206465005874634,0.7019608020782471,0.5333333611488342,1.0,0.20000000298023224,1.0
GLTP,81,81,0,62,80,260,0.5984461307525635,0.5568627715110779,0.32549020648002625,0.9647058844566345,0.13725490868091583,1.0
IP_trans,65,65,0,45,45,635,0.845853328704834,0.9098039269447327,0.5803921818733215,1.0,0.3764705955982208,1.0
LBP_BPI_CETP,55,55,0,38,38,535,0.826968789100647,0.8588235378265381,0.5764706134796143,1.0,0.3764705955982208,1.0
ML,10,10,0,10,10,56,0.8013801574707031,0.7843137383460999,0.5686274766921997,1.0,0.43921568989753723,1.0
OSBP,8,8,0,6,6,32,0.8905044198036194,0.9411764740943909,0.7176470756530762,1.0,0.7058823704719543,1.0
START,200,200,0,125,129,1512,0.7825637459754944,0.843137264251709,0.5372549295425415,0.9803921580314636,0.11764705926179886,1.0
lipocalin,90,90,0,59,59,432,0.698779821395874,0.7686274647712708,0.32549020648002625,0.9803921580314636,0.0470588244497776,1.0
scp2,43,43,0,38,38,106,0.6839772462844849,0.6980392336845398,0.3960784375667572,1.0,0.1882352977991104,1.0
