ProteinDomain,row_count,positive_count,negative_count,unique_lipid_count,unique_full_identity_count,encoded_lipid_count,tanimoto_mean,tanimoto_median,tanimoto_p10,tanimoto_p90,tanimoto_min,tanimoto_max
CRAL-TRIO,2162,204,1958,106,109,10632,0.7865014672279358,0.7607843279838562,0.5960784554481506,1.0,0.24705882370471954,1.0
GLTP,2626,81,2545,62,80,8821,0.6141901016235352,0.5882353186607361,0.3450980484485626,0.9647058844566345,0.13725490868091583,1.0
IP_trans,517,65,452,45,45,3911,0.785585880279541,0.8313725590705872,0.5607843399047852,1.0,0.4156862795352936,1.0
LBP_BPI_CETP,1068,55,1013,38,38,9987,0.7882476449012756,0.8235294222831726,0.5607843399047852,1.0,0.3764705955982208,1.0
ML,211,10,201,10,10,1173,0.8043806552886963,0.8117647171020508,0.5686274766921997,1.0,0.43921568989753723,1.0
OSBP,72,8,64,6,6,602,0.9149680733680725,0.9411764740943909,0.7176470756530762,1.0,0.7058823704719543,1.0
START,2296,200,2096,125,129,11007,0.718139111995697,0.8196078538894653,0.27843138575553894,0.9803921580314636,0.12941177189350128,1.0
lipocalin,1233,90,1143,59,59,6071,0.7067298293113708,0.7882353067398071,0.3450980484485626,0.9803921580314636,0.0470588244497776,1.0
scp2,833,43,790,38,38,2423,0.6870562434196472,0.6470588445663452,0.42352941632270813,1.0,0.2078431397676468,1.0
