LTPProtein,row_count,positive_count,negative_count,unique_lipid_count,unique_full_identity_count,encoded_lipid_count,tanimoto_mean,tanimoto_median,tanimoto_p10,tanimoto_p90,tanimoto_min,tanimoto_max
ATCAY,312,2,310,284,312,1559,0.6079248189926147,0.5960784554481506,0.2862745225429535,0.9450980424880981,0.08235294371843338,1.0
BNIPL,312,1,311,284,312,1559,0.60797518491745,0.5960784554481506,0.2862745225429535,0.9450980424880981,0.08235294371843338,1.0
BPI,314,31,283,284,312,1511,0.5971237421035767,0.5960784554481506,0.2823529541492462,0.9450980424880981,0.09019608050584793,1.0
BPIFB2,312,24,288,284,312,1508,0.5907646417617798,0.5882353186607361,0.27450981736183167,0.929411768913269,0.03921568766236305,1.0
CRABP2,312,1,311,284,312,1559,0.605757474899292,0.5960784554481506,0.2823529541492462,0.9450980424880981,0.13725490868091583,1.0
FABP1,315,27,288,284,312,1565,0.6037498116493225,0.5960784554481506,0.2823529541492462,0.9450980424880981,0.13725490868091583,1.0
FABP5,312,10,302,284,312,1559,0.5952561497688293,0.5921568870544434,0.2823529541492462,0.9450980424880981,0.12941177189350128,1.0
FABP7,312,8,304,284,312,1559,0.5928136706352234,0.5921568870544434,0.27843138575553894,0.9450980424880981,0.09803921729326248,1.0
GLTP,312,39,273,284,312,1559,0.5985817909240723,0.5921568870544434,0.2823529541492462,0.9450980424880981,0.1411764770746231,1.0
GLTPD1,313,42,271,284,312,1560,0.5981702208518982,0.5921568870544434,0.2823529541492462,0.9450980424880981,0.12941177189350128,1.0
GM2A,312,10,302,284,312,1548,0.5925146341323853,0.5921568870544434,0.27843138575553894,0.9411764740943909,0.1568627506494522,1.0
HSDL2,312,5,307,284,312,1559,0.5940938591957092,0.5921568870544434,0.2823529541492462,0.9450980424880981,0.08235294371843338,1.0
LCN1,312,27,285,284,312,1506,0.5862218737602234,0.5882353186607361,0.27843138575553894,0.929411768913269,0.1411764770746231,1.0
LCN15,312,5,307,284,312,1559,0.581960916519165,0.5882353186607361,0.27843138575553894,0.929411768913269,0.0470588244497776,1.0
OSBPL5,312,3,309,284,312,1559,0.602474570274353,0.5960784554481506,0.2823529541492462,0.9450980424880981,0.13725490868091583,1.0
OSBPL9,314,5,309,284,312,1564,0.586731493473053,0.5882353186607361,0.27843138575553894,0.929411768913269,0.03921568766236305,1.0
PITPNA,313,22,291,284,312,1427,0.5727494359016418,0.5764706134796143,0.27450981736183167,0.9215686321258545,0.1411764770746231,1.0
PITPNB,316,30,286,284,312,1587,0.5918282270431519,0.5921568870544434,0.27843138575553894,0.9450980424880981,0.09019608050584793,1.0
PITPNC1,314,13,301,284,312,1563,0.5920782089233398,0.5882353186607361,0.27843138575553894,0.9411764740943909,0.03921568766236305,1.0
PMP2,312,9,303,284,312,1559,0.5960588455200195,0.5960784554481506,0.27843138575553894,0.9450980424880981,0.1411764770746231,1.0
RBP1,312,1,311,284,312,1559,0.6064314842224121,0.5960784554481506,0.2862745225429535,0.9450980424880981,0.08235294371843338,1.0
RBP4,312,1,311,284,312,1559,0.6064314842224121,0.5960784554481506,0.2862745225429535,0.9450980424880981,0.08235294371843338,1.0
RBP5,312,1,311,284,312,1559,0.6060444116592407,0.5960784554481506,0.2823529541492462,0.9450980424880981,0.13725490868091583,1.0
RLBP1,329,80,249,284,312,1594,0.6012721061706543,0.5960784554481506,0.2823529541492462,0.9411764740943909,0.03921568766236305,1.0
SCP2,312,10,302,284,312,1559,0.5942028760910034,0.5921568870544434,0.27843138575553894,0.9411764740943909,0.12941177189350128,1.0
SCP2D1,312,28,284,284,312,1559,0.590617299079895,0.5882353186607361,0.27843138575553894,0.9411764740943909,0.09019608050584793,1.0
SEC14L2,313,10,303,284,312,1573,0.5890721678733826,0.5882353186607361,0.2862745225429535,0.9411764740943909,0.03921568766236305,1.0
SEC14L4,312,3,309,284,312,1559,0.5992713570594788,0.5960784554481506,0.2823529541492462,0.9450980424880981,0.0470588244497776,1.0
SEC14L5,312,2,310,284,312,1559,0.5980538725852966,0.5960784554481506,0.2823529541492462,0.9450980424880981,0.03921568766236305,1.0
SEC14L6,312,14,298,284,312,1559,0.6054592132568359,0.5960784554481506,0.2862745225429535,0.9450980424880981,0.08235294371843338,1.0
STARD10,331,84,247,284,312,1675,0.5792139172554016,0.5764706134796143,0.27450981736183167,0.929411768913269,0.03921568766236305,1.0
STARD11,312,21,291,284,312,1559,0.5847271680831909,0.5882353186607361,0.2705882489681244,0.9254902005195618,0.08235294371843338,1.0
STARD2,339,95,244,284,312,1682,0.6039884090423584,0.5960784554481506,0.2823529541492462,0.9450980424880981,0.09803921729326248,1.0
TTPA,314,12,302,284,312,1563,0.5978114008903503,0.5960784554481506,0.27843138575553894,0.9450980424880981,0.1411764770746231,1.0
TTPAL,329,80,249,284,312,1580,0.5946964025497437,0.5882353186607361,0.27843138575553894,0.9450980424880981,0.1411764770746231,1.0
