LTPProtein,row_count,positive_count,negative_count,unique_lipid_count,unique_full_identity_count,encoded_lipid_count,tanimoto_mean,tanimoto_median,tanimoto_p10,tanimoto_p90,tanimoto_min,tanimoto_max
ATCAY,2,2,0,2,2,38,0.9962068200111389,1.0,0.9803921580314636,1.0,0.9803921580314636,1.0
BNIPL,1,1,0,1,1,6,0.878954291343689,0.8078431487083435,0.7921568751335144,1.0,0.7921568751335144,1.0
BPI,31,31,0,29,29,265,0.7973683476448059,0.8313725590705872,0.5686274766921997,1.0,0.38823530077934265,1.0
BPIFB2,24,24,0,24,24,270,0.8567652106285095,0.8941176533699036,0.5960784554481506,1.0,0.3764705955982208,1.0
CRABP2,1,1,0,1,1,1,,,,,,
FABP1,27,27,0,24,24,61,0.6996850371360779,0.7254902124404907,0.3450980484485626,1.0,0.20000000298023224,1.0
FABP5,10,10,0,10,10,10,0.8000871539115906,0.8078431487083435,0.6047059059143066,0.95686274766922,0.5647059082984924,1.0
FABP7,8,8,0,8,8,8,0.7844537496566772,0.7764706015586853,0.5647059082984924,0.969803923368454,0.5647059082984924,1.0
GLTP,39,39,0,33,39,175,0.7211122512817383,0.7490196228027344,0.32549020648002625,0.9803921580314636,0.13725490868091583,1.0
GLTPD1,42,42,0,29,41,85,0.8283803462982178,0.9450980424880981,0.5607843399047852,1.0,0.2980392277240753,1.0
GM2A,10,10,0,10,10,56,0.8013801574707031,0.7843137383460999,0.5686274766921997,1.0,0.43921568989753723,1.0
HSDL2,5,5,0,5,5,6,0.605228841304779,0.6117647290229797,0.3450980484485626,0.8525490283966064,0.32549020648002625,1.0
LCN1,27,27,0,27,27,321,0.876153290271759,0.8941176533699036,0.7450980544090271,1.0,0.48627451062202454,1.0
LCN15,5,5,0,5,5,19,0.9662882685661316,0.9803921580314636,0.9215686321258545,1.0,0.9215686321258545,1.0
OSBPL5,3,3,0,3,3,7,1.0,1.0,1.0,1.0,1.0,1.0
OSBPL9,5,5,0,3,3,25,0.967843234539032,0.9803921580314636,0.9215686321258545,1.0,0.9215686321258545,1.0
PITPNA,22,22,0,21,21,259,0.8993915319442749,0.9254902005195618,0.7882353067398071,1.0,0.38823530077934265,1.0
PITPNB,30,30,0,26,26,351,0.8445202708244324,0.9254902005195618,0.5686274766921997,1.0,0.3333333432674408,1.0
PITPNC1,13,13,0,11,11,25,0.9488888382911682,1.0,0.6666666865348816,1.0,0.6666666865348816,1.0
PMP2,9,9,0,9,9,9,0.7961873412132263,0.8117647171020508,0.5745098292827606,0.95686274766922,0.5647059082984924,1.0
RBP1,1,1,0,1,1,1,,,,,,
RBP4,1,1,0,1,1,1,,,,,,
RBP5,1,1,0,1,1,1,,,,,,
RLBP1,80,80,0,63,63,405,0.7673394680023193,0.7607843279838562,0.5882353186607361,1.0,0.20000000298023224,1.0
SCP2,10,10,0,10,10,28,0.8751530647277832,0.9215686321258545,0.7176470756530762,1.0,0.5803921818733215,1.0
SCP2D1,28,28,0,28,28,72,0.6444828510284424,0.6274510025978088,0.36274510622024536,0.9803921580314636,0.1882352977991104,1.0
SEC14L2,10,10,0,9,9,43,0.9296984076499939,0.9647058844566345,0.9098039269447327,1.0,0.5411764979362488,1.0
SEC14L4,3,3,0,3,3,3,0.9450981020927429,0.9176470637321472,0.9176470637321472,0.9835294127464295,0.9176470637321472,1.0
SEC14L5,2,2,0,2,2,3,0.8457515835762024,0.7686274647712708,0.7686274647712708,0.9537254929542541,0.7686274647712708,1.0
SEC14L6,14,14,0,14,14,169,0.8825811743736267,0.8823529481887817,0.7450980544090271,1.0,0.43921568989753723,1.0
STARD10,84,84,0,65,65,606,0.7438228130340576,0.7450980544090271,0.545098066329956,0.9803921580314636,0.1882352977991104,1.0
STARD11,21,21,0,21,21,75,0.5838459730148315,0.40392157435417175,0.29019609093666077,1.0,0.20392157137393951,1.0
STARD2,95,95,0,64,68,831,0.8773224353790283,0.8941176533699036,0.7529411911964417,0.9843137264251709,0.5411764979362488,1.0
TTPA,12,12,0,10,10,32,0.9204617142677307,0.9803921580314636,0.7450980544090271,1.0,0.6901960968971252,1.0
TTPAL,80,80,0,62,63,290,0.7582264542579651,0.7607843279838562,0.5686274766921997,1.0,0.20000000298023224,1.0
