ProteinDomain,CRAL-TRIO,GLTP,IP_trans,LBP_BPI_CETP,ML,OSBP,START,lipocalin,scp2
CRAL-TRIO,0.7138453154057627,0.33738359028641984,0.6930498027515266,0.6799358657853207,0.6864712803449552,0.6830837762753571,0.6751993698206729,0.6473153107211737,0.6714651630792491
GLTP,0.33738360547756086,0.5999906388683431,0.3634176493413083,0.3656827372393961,0.36612532060224934,0.30507495586688704,0.3636053399725275,0.3543196892806268,0.3359998993672895
IP_trans,0.6930498773914636,0.3634176907461387,0.8482444374263749,0.8332224938369269,0.8182622130729753,0.5903348306971272,0.8130101575844686,0.7599379972522966,0.587989732093114
LBP_BPI_CETP,0.6799359230005528,0.36568271442251526,0.833222390352491,0.8255408155188226,0.8112170679069488,0.5841753487275025,0.7996544413577672,0.7492191323940215,0.5756296684199216
ML,0.6864712450798064,0.3661252870664492,0.8182622130729753,0.8112170393858478,0.8049269695671237,0.6002101216997419,0.7910133183047524,0.741312339823082,0.5899047440274385
OSBP,0.6830838071323623,0.3050749265230619,0.590334914800689,0.5841753522926402,0.6002100535801479,0.8939261436462402,0.5798486780237269,0.5635896258884006,0.6548788682469782
START,0.6751992862292091,0.363605300226394,0.8130102552285131,0.79965465141794,0.7910133183047524,0.5798486982073102,0.787934044180944,0.7355870436201744,0.580452659190314
lipocalin,0.6473152010073775,0.3543196892806268,0.7599380399715661,0.7492189528167186,0.741312339823082,0.5635896612096716,0.7355870914627425,0.6951934856315372,0.5689947633456718
scp2,0.6714652003405384,0.3359998993672895,0.5879897466015451,0.5756296425894903,0.5899047440274385,0.6548788682469782,0.580452683562943,0.5689947633456718,0.6869585710133722
