group_a,group_b,mean_tanimoto,encoded_lipids_a,encoded_lipids_b,sampled_encoded_lipids_a,sampled_encoded_lipids_b,positive_rows_a,positive_rows_b,unique_lipids_a,unique_lipids_b,unique_full_identities_a,unique_full_identities_b
lipocalin,GLTP,0.3543196892806268,432,260,432,260,90,81,59,62,59,80
lipocalin,IP_trans,0.7599380399715661,432,635,432,635,90,65,59,45,59,45
lipocalin,LBP_BPI_CETP,0.7492189528167186,432,535,432,535,90,55,59,38,59,38
lipocalin,ML,0.741312339823082,432,56,432,56,90,10,59,10,59,10
lipocalin,OSBP,0.5635896612096716,432,32,432,32,90,8,59,6,59,6
lipocalin,START,0.7355870914627425,432,1512,432,1512,90,200,59,125,59,129
lipocalin,lipocalin,0.6951934856315372,432,432,432,432,90,90,59,59,59,59
lipocalin,scp2,0.5689947633456718,432,106,432,106,90,43,59,38,59,38
scp2,CRAL-TRIO,0.6714652003405384,106,989,106,989,43,204,38,106,38,109
scp2,GLTP,0.3359998993672895,106,260,106,260,43,81,38,62,38,80
scp2,IP_trans,0.5879897466015451,106,635,106,635,43,65,38,45,38,45
scp2,LBP_BPI_CETP,0.5756296425894903,106,535,106,535,43,55,38,38,38,38
scp2,ML,0.5899047440274385,106,56,106,56,43,10,38,10,38,10
scp2,OSBP,0.6548788682469782,106,32,106,32,43,8,38,6,38,6
scp2,START,0.580452683562943,106,1512,106,1512,43,200,38,125,38,129
scp2,lipocalin,0.5689947633456718,106,432,106,432,43,90,38,59,38,59
scp2,scp2,0.6869585710133722,106,106,106,106,43,43,38,38,38,38
