label,exclusion_set,seed,axis,test_isolation,test_cross_mean,test_seen_lipid_share,valid_isolation,valid_cross_mean,valid_seen_lipid_share,train_rows,valid_rows,test_rows,test_positives,test_positive_rate,test_proteins,train_positives,test_block_structures,test_train_structures,TP,FP,TN,FN,balanced_accuracy,F1,TP_share,FP_share,TN_share,FN_share
deepclip_f1_normal_mean_cral_trio_iso70_ep120,groups_isocral-trio__0.70_groups_cral-trio,3,lipid_isolation,0.6757665872573853,0.48259437084198,0.0,0.6842122077941895,0.48469147086143494,0.0,432,31,32,11,0.34375,4,144,259,450,0.0,0.0,21.0,11.0,0.5,0.0,0.0,0.0,0.65625,0.34375
deepclip_f1_normal_mean_cral_trio_iso70_ep120,groups_isocral-trio__0.70_groups_cral-trio,0,lipid_isolation,0.6858178377151489,0.4868635833263397,0.0,0.6762512922286987,0.48917606472969055,0.0,432,31,32,11,0.34375,5,144,249,454,0.0,3.0,18.0,11.0,0.428571,0.0,0.0,0.09375,0.5625,0.34375
deepclip_f1_normal_mean_cral_trio_iso70_ep120,groups_isocral-trio__0.70_groups_cral-trio,4,lipid_isolation,0.6877255439758301,0.4870942533016205,0.0,0.7007519006729126,0.49205878376960754,0.0,432,31,32,11,0.34375,5,144,300,451,5.0,6.0,15.0,6.0,0.584416,0.454545,0.15625,0.1875,0.46875,0.1875
deepclip_f1_normal_mean_cral_trio_iso70_ep120,groups_isocral-trio__0.70_groups_cral-trio,2,lipid_isolation,0.6900357604026794,0.48213991522789,0.0,0.6901148557662964,0.48971325159072876,0.0,432,31,32,11,0.34375,5,144,269,452,0.0,0.0,21.0,11.0,0.5,0.0,0.0,0.0,0.65625,0.34375
deepclip_f1_normal_mean_cral_trio_iso70_ep120,groups_isocral-trio__0.70_groups_cral-trio,1,lipid_isolation,0.6910597085952759,0.48249292373657227,0.0,0.6811697483062744,0.4811702072620392,0.0,432,31,32,11,0.34375,5,144,277,454,0.0,0.0,21.0,11.0,0.5,0.0,0.0,0.0,0.65625,0.34375
deepclip_f1_normal_mean_cral_trio_iso80_ep120,groups_isocral-trio__0.80_groups_cral-trio,3,lipid_isolation,0.8040683269500732,0.5118486881256104,0.0,0.8036974668502808,0.5080108046531677,0.0,441,27,27,9,0.3333333333333333,4,147,294,499,4.0,2.0,16.0,5.0,0.666667,0.533333,0.14814814814814814,0.07407407407407407,0.5925925925925926,0.18518518518518517
deepclip_f1_normal_mean_cral_trio_iso80_ep120,groups_isocral-trio__0.80_groups_cral-trio,4,lipid_isolation,0.804479718208313,0.5112093687057495,0.0,0.8054120540618896,0.5133972764015198,0.0,441,27,27,9,0.3333333333333333,4,147,274,502,2.0,2.0,16.0,7.0,0.555556,0.307692,0.07407407407407407,0.07407407407407407,0.5925925925925926,0.25925925925925924
deepclip_f1_normal_mean_cral_trio_iso80_ep120,groups_isocral-trio__0.80_groups_cral-trio,2,lipid_isolation,0.8049818277359009,0.5054346919059753,0.0,0.8026441931724548,0.5129743218421936,0.0,441,27,27,9,0.3333333333333333,5,147,270,496,0.0,0.0,18.0,9.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
deepclip_f1_normal_mean_cral_trio_iso80_ep120,groups_isocral-trio__0.80_groups_cral-trio,0,lipid_isolation,0.8053901791572571,0.5019053220748901,0.0,0.8123000860214233,0.5088984966278076,0.0,441,27,27,9,0.3333333333333333,5,147,243,500,9.0,18.0,0.0,0.0,0.5,0.5,0.3333333333333333,0.6666666666666666,0.0,0.0
deepclip_f1_normal_mean_cral_trio_iso80_ep120,groups_isocral-trio__0.80_groups_cral-trio,1,lipid_isolation,0.8073388934135437,0.5031877756118774,0.0,0.8037466406822205,0.5073117017745972,0.0,441,27,27,9,0.3333333333333333,5,147,210,498,0.0,0.0,18.0,9.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
