TP,FP,TN,FN,accuracy,sensitivity,specificity,precision,F1,IoU,FAR,sens_spec_gap,valid_last,valid_max,valid_max_epoch,label,family,seed,parameters,train_rows,test_rows,positives,proteins,seen_in_train,prior_by_lipid,prior_by_class,BA,AUC,AUC_within_protein_pairs,AUC_within_protein_pairs_proteins,null_lipid_only_AUC,null_lipid_only_pairs,null_within_protein_AUC,null_within_protein_pairs,null_within_protein_covered,skill_pairs,skill_pairs_vs_best
0,0,1,1,0.5,0.0,1.0,,,0.0,0.0,1.0,0.0,0.5,1.0,structural_pretrain_family_scratch,ML,1,1071238,26,2,1,1,0.0,0.5,0.5,0.5,0.0,0.0,1,0.5,0.5,0.5,0.5,1.0,-0.5,-0.5
1,1,0,0,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,1.0,-1.0,,,,structural_pretrain_family_scratch,ML,2,1071238,26,2,1,1,0.0,0.5,1.0,0.5,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1,1,0,0,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,1.0,-1.0,,,,structural_pretrain_family_scratch,ML,3,1071238,26,2,1,1,0.0,0.5,0.5,0.5,1.0,1.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0,0,1,1,0.5,0.0,1.0,,,0.0,0.0,1.0,,,,structural_pretrain_family_scratch,ML,4,1071238,26,2,1,1,0.0,0.5,0.0,0.5,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,1,1,0.5,0.0,1.0,,,0.0,0.0,1.0,,,,structural_pretrain_family_scratch,OSBP,0,1071238,15,2,1,1,0.5,0.5,1.0,0.5,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0,0,1,1,0.5,0.0,1.0,,,0.0,0.0,1.0,,,,structural_pretrain_family_scratch,OSBP,1,1071238,15,2,1,1,0.0,0.5,1.0,0.5,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0,0,1,0,1.0,,1.0,,,,0.0,,,,,structural_pretrain_family_scratch,OSBP,2,1071238,15,1,0,1,,,,,,,0,,,,,1.0,,
1,1,0,0,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,1.0,-1.0,,,,structural_pretrain_family_scratch,OSBP,3,1071238,15,2,1,2,0.0,0.5,1.0,0.5,1.0,,0,1.0,,0.0,,1.0,,
0,0,1,1,0.5,0.0,1.0,,,0.0,0.0,1.0,,,,structural_pretrain_family_scratch,OSBP,4,1071238,15,2,1,2,0.0,0.5,0.5,0.5,1.0,,0,1.0,,0.0,,1.0,,
11,1,22,0,0.9705882352941176,1.0,0.9565217391304348,0.9166666666666666,0.9565217391304348,0.9166666666666666,0.043478260869565216,-0.04347826086956519,0.979167,0.979167,64.0,structural_pretrain_family_scratch,START,0,1071238,382,34,11,3,0.71,0.617,0.753,0.9782608695652174,1.0,1.0,3,0.8656126482213439,0.8695652173913043,0.8656126482213439,0.8173913043478261,1.0,0.18260869565217386,0.13043478260869568
11,1,20,2,0.9117647058823529,0.8461538461538461,0.9523809523809523,0.9166666666666666,0.8799999999999999,0.7857142857142857,0.047619047619047616,0.10622710622710618,0.954545,0.977273,47.0,structural_pretrain_family_scratch,START,1,1071238,382,34,13,3,0.71,0.659,0.813,0.8992673992673992,0.9853479853479854,0.9626168224299065,3,0.9139194139194139,0.9345794392523364,1.0,1.0,1.0,-0.03738317757009346,-0.03738317757009346
10,5,16,3,0.7647058823529411,0.7692307692307693,0.7619047619047619,0.6666666666666666,0.7142857142857142,0.5555555555555556,0.23809523809523808,-0.007326007326007411,0.851648,0.928571,63.0,structural_pretrain_family_scratch,START,2,1071238,382,34,13,3,0.68,0.458,0.603,0.7655677655677655,0.9047619047619048,0.8,3,0.7454212454212454,0.7181818181818181,0.9084249084249084,0.8363636363636363,1.0,-0.036363636363636265,-0.036363636363636265
9,2,21,2,0.8823529411764706,0.8181818181818182,0.9130434782608695,0.8181818181818182,0.8181818181818182,0.6923076923076923,0.08695652173913043,0.09486166007905128,0.913043,0.934783,37.0,structural_pretrain_family_scratch,START,3,1071238,382,34,11,3,0.82,0.482,0.664,0.8656126482213439,0.9644268774703557,0.9626168224299065,3,0.8557312252964426,0.8878504672897196,0.9802371541501976,0.9813084112149533,1.0,-0.01869158878504673,-0.01869158878504673
9,2,21,2,0.8823529411764706,0.8181818181818182,0.9130434782608695,0.8181818181818182,0.8181818181818182,0.6923076923076923,0.08695652173913043,0.09486166007905128,0.912879,0.977273,16.0,structural_pretrain_family_scratch,START,4,1071238,382,34,11,3,0.59,0.615,0.842,0.8656126482213439,0.9762845849802372,0.9603960396039604,3,0.9209486166007905,0.9405940594059405,0.8754940711462451,0.8267326732673267,1.0,0.13366336633663367,0.01980198019801982
6,1,12,1,0.9,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.75,0.07692307692307693,0.06593406593406603,0.839744,0.923077,30.0,structural_pretrain_family_scratch,lipocalin,0,1071238,222,20,7,7,0.55,0.714,0.714,0.8901098901098901,0.989010989010989,0.9285714285714286,4,0.8736263736263736,0.9285714285714286,0.8791208791208791,1.0,1.0,-0.0714285714285714,-0.0714285714285714
7,1,12,0,0.95,1.0,0.9230769230769231,0.875,0.9333333333333333,0.875,0.07692307692307693,-0.07692307692307687,0.744048,0.815476,44.0,structural_pretrain_family_scratch,lipocalin,1,1071238,222,20,7,8,0.55,0.747,0.819,0.9615384615384616,0.9230769230769231,1.0,4,0.7417582417582418,0.6666666666666666,0.8186813186813187,0.8888888888888888,1.0,0.11111111111111116,0.11111111111111116
9,1,10,0,0.95,1.0,0.9090909090909091,0.9,0.9473684210526316,0.9,0.09090909090909091,-0.09090909090909094,0.892045,0.954545,43.0,structural_pretrain_family_scratch,lipocalin,2,1071238,222,20,9,6,0.6,0.722,0.722,0.9545454545454546,0.9595959595959596,1.0,4,0.8585858585858586,0.9,0.898989898989899,0.9,1.0,0.09999999999999998,0.09999999999999998
3,2,13,1,0.8421052631578947,0.75,0.8666666666666667,0.6,0.6666666666666665,0.5,0.13333333333333333,0.1166666666666667,0.96875,1.0,98.0,structural_pretrain_family_scratch,lipocalin,3,1071238,222,19,4,6,0.53,0.592,0.625,0.8083333333333333,0.9333333333333333,0.7692307692307693,2,0.6666666666666666,0.6923076923076923,0.7333333333333333,0.6923076923076923,1.0,0.07692307692307698,0.07692307692307698
6,1,12,0,0.9473684210526315,1.0,0.9230769230769231,0.8571428571428571,0.923076923076923,0.8571428571428571,0.07692307692307693,-0.07692307692307687,0.928571,0.964286,79.0,structural_pretrain_family_scratch,lipocalin,4,1071238,222,19,6,7,0.63,0.673,0.673,0.9615384615384616,0.9871794871794872,1.0,4,0.8269230769230769,0.7142857142857143,0.9230769230769231,0.9285714285714286,1.0,0.0714285714285714,0.0714285714285714
2,2,5,0,0.7777777777777778,1.0,0.7142857142857143,0.5,0.6666666666666666,0.5,0.2857142857142857,-0.2857142857142857,0.875,0.875,18.0,structural_pretrain_family_scratch,scp2,0,1071238,110,9,2,3,0.11,0.5,0.929,0.8571428571428572,0.9285714285714286,1.0,2,0.6785714285714286,0.6666666666666666,0.6428571428571429,0.6666666666666666,1.0,0.33333333333333337,0.33333333333333337
5,2,3,0,0.8,1.0,0.6,0.7142857142857143,0.8333333333333333,0.7142857142857143,0.4,-0.4,0.8,0.9,16.0,structural_pretrain_family_scratch,scp2,1,1071238,110,10,5,3,0.0,0.5,0.5,0.8,0.88,0.9,2,0.76,0.8,0.6,0.7,1.0,0.20000000000000007,0.09999999999999998
3,1,6,0,0.9,1.0,0.8571428571428571,0.75,0.8571428571428571,0.75,0.14285714285714285,-0.1428571428571429,0.666667,0.833333,12.0,structural_pretrain_family_scratch,scp2,2,1071238,110,10,3,3,0.1,0.667,0.429,0.9285714285714286,0.8571428571428571,1.0,1,1.0,1.0,0.9523809523809523,1.0,1.0,0.0,0.0
4,1,4,1,0.8,0.8,0.8,0.8,0.8000000000000002,0.6666666666666666,0.2,0.0,0.675,0.775,7.0,structural_pretrain_family_scratch,scp2,3,1071238,110,10,5,2,0.4,0.7,0.6,0.8,0.76,0.9285714285714286,2,0.88,0.9285714285714286,0.96,0.9285714285714286,1.0,0.0,0.0
1,4,4,0,0.5555555555555556,1.0,0.5,0.2,0.33333333333333337,0.2,0.5,-0.5,0.75,1.0,23.0,structural_pretrain_family_scratch,scp2,4,1071238,110,9,1,3,0.33,0.438,1.0,0.75,1.0,1.0,1,0.5,0.5,0.5,0.5,1.0,0.5,0.5
9,7,18,2,0.75,0.8181818181818182,0.72,0.5625,0.6666666666666666,0.5,0.28,-0.09818181818181826,0.903846,0.942308,44.0,structural_pretrain_family,CRAL-TRIO,0,1071238,421,36,11,7,0.69,0.551,0.678,0.769090909090909,0.8181818181818182,0.8705882352941177,3,0.8145454545454546,0.8705882352941177,0.9018181818181819,0.9411764705882353,1.0,-0.07058823529411762,-0.07058823529411762
11,7,17,2,0.7567567567567568,0.8461538461538461,0.7083333333333334,0.6111111111111112,0.7096774193548387,0.55,0.2916666666666667,-0.13782051282051277,0.81891,0.860577,91.0,structural_pretrain_family,CRAL-TRIO,1,1071238,421,37,13,6,0.68,0.644,0.742,0.7772435897435898,0.8108974358974359,0.9607843137254902,4,0.8685897435897436,0.9901960784313726,0.9294871794871795,1.0,1.0,-0.039215686274509776,-0.039215686274509776
11,8,15,2,0.7222222222222222,0.8461538461538461,0.6521739130434783,0.5789473684210527,0.6875,0.5238095238095238,0.34782608695652173,-0.19397993311036787,0.767857,0.875,42.0,structural_pretrain_family,CRAL-TRIO,2,1071238,421,36,13,5,0.81,0.764,0.716,0.7491638795986622,0.7290969899665551,0.8620689655172413,4,0.8010033444816054,0.8620689655172413,0.7993311036789298,0.8390804597701149,1.0,0.02298850574712641,0.0
11,10,15,2,0.6842105263157895,0.8461538461538461,0.6,0.5238095238095238,0.6470588235294118,0.4782608695652174,0.4,-0.24615384615384617,0.958333,1.0,29.0,structural_pretrain_family,CRAL-TRIO,3,1071238,421,38,13,8,0.82,0.668,0.783,0.7230769230769231,0.8,0.8481012658227848,5,0.8184615384615385,0.8860759493670886,0.8738461538461538,0.9430379746835443,1.0,-0.09493670886075956,-0.09493670886075956
11,11,13,2,0.6486486486486487,0.8461538461538461,0.5416666666666666,0.5,0.6285714285714286,0.4583333333333333,0.4583333333333333,-0.3044871794871795,0.676282,0.738782,4.0,structural_pretrain_family,CRAL-TRIO,4,1071238,421,37,13,8,0.84,0.748,0.742,0.6939102564102564,0.7980769230769231,0.8953488372093024,4,0.8044871794871795,0.8953488372093024,0.9022435897435898,0.9825581395348837,1.0,-0.08720930232558133,-0.08720930232558133
4,2,8,0,0.8571428571428571,1.0,0.8,0.6666666666666666,0.8,0.6666666666666666,0.2,-0.19999999999999996,0.9,0.9,7.0,structural_pretrain_family,GLTP,0,1071238,158,14,4,2,0.29,0.45,0.9,0.9,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,0.0,0.0
3,2,9,0,0.8571428571428571,1.0,0.8181818181818182,0.6,0.7499999999999999,0.6,0.18181818181818182,-0.18181818181818177,0.775,0.9,30.0,structural_pretrain_family,GLTP,1,1071238,158,14,3,2,0.14,0.455,0.909,0.9090909090909092,0.8787878787878788,1.0,1,0.8484848484848485,1.0,0.9393939393939394,1.0,1.0,0.0,0.0
6,3,5,0,0.7857142857142857,1.0,0.625,0.6666666666666666,0.8,0.6666666666666666,0.375,-0.375,0.854167,0.916667,9.0,structural_pretrain_family,GLTP,2,1071238,158,14,6,2,0.29,0.5,0.854,0.8125,0.8125,0.7916666666666666,2,0.8541666666666666,0.875,0.9583333333333334,0.9583333333333334,1.0,-0.16666666666666674,-0.16666666666666674
3,3,8,0,0.7857142857142857,1.0,0.7272727272727273,0.5,0.6666666666666666,0.5,0.2727272727272727,-0.2727272727272727,0.708333,0.916667,33.0,structural_pretrain_family,GLTP,3,1071238,158,14,3,2,0.36,0.455,0.788,0.8636363636363636,0.9393939393939394,0.9523809523809523,1,0.9242424242424242,0.9047619047619048,0.9696969696969697,0.9523809523809523,1.0,0.0,0.0
4,0,9,1,0.9285714285714286,0.8,1.0,1.0,0.888888888888889,0.8,0.0,0.19999999999999996,1.0,1.0,102.0,structural_pretrain_family,GLTP,4,1071238,158,14,5,2,0.57,0.444,0.8,0.9,1.0,1.0,2,0.9333333333333333,1.0,0.9555555555555556,1.0,1.0,0.0,0.0
3,4,6,0,0.6923076923076923,1.0,0.6,0.42857142857142855,0.6,0.42857142857142855,0.4,-0.4,0.75,0.75,35.0,structural_pretrain_family,IP_trans,0,1071238,148,13,3,3,0.23,0.667,0.85,0.8,1.0,1.0,1,0.95,0.9666666666666667,0.9833333333333333,0.9666666666666667,1.0,0.033333333333333326,0.033333333333333326
3,6,5,0,0.5714285714285714,1.0,0.45454545454545453,0.3333333333333333,0.5,0.3333333333333333,0.5454545454545454,-0.5454545454545454,0.85,0.9,7.0,structural_pretrain_family,IP_trans,1,1071238,148,14,3,3,0.21,0.833,0.652,0.7272727272727273,0.7575757575757576,0.6666666666666666,2,0.9393939393939394,1.0,0.8484848484848485,0.8333333333333334,1.0,-0.16666666666666674,-0.33333333333333337
5,3,4,0,0.75,1.0,0.5714285714285714,0.625,0.7692307692307693,0.625,0.42857142857142855,-0.4285714285714286,0.8125,0.8125,15.0,structural_pretrain_family,IP_trans,2,1071238,148,12,5,3,0.33,0.529,0.557,0.7857142857142857,0.8571428571428571,0.8888888888888888,2,0.7714285714285715,0.7222222222222222,0.6428571428571429,0.9444444444444444,1.0,-0.05555555555555558,-0.05555555555555558
2,6,5,0,0.5384615384615384,1.0,0.45454545454545453,0.25,0.4,0.25,0.5454545454545454,-0.5454545454545454,0.613636,0.909091,11.0,structural_pretrain_family,IP_trans,3,1071238,148,13,2,3,0.23,0.409,0.614,0.7272727272727273,0.7272727272727273,0.6,2,0.6363636363636364,0.6,0.8181818181818182,0.7,1.0,-0.09999999999999998,-0.09999999999999998
5,1,6,0,0.9166666666666666,1.0,0.8571428571428571,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.14285714285714285,-0.1428571428571429,0.8125,0.8125,9.0,structural_pretrain_family,IP_trans,4,1071238,148,12,5,3,0.25,0.5,0.8,0.9285714285714286,0.9142857142857143,0.8461538461538461,3,0.7285714285714285,0.8846153846153846,0.6714285714285714,0.8846153846153846,1.0,-0.038461538461538436,-0.038461538461538436
3,2,7,0,0.8333333333333334,1.0,0.7777777777777778,0.6,0.7499999999999999,0.6,0.2222222222222222,-0.2222222222222222,0.944444,0.944444,41.0,structural_pretrain_family,LBP_BPI_CETP,0,1071238,135,12,3,2,0.42,0.556,0.778,0.8888888888888888,0.9259259259259259,0.9166666666666666,2,0.8333333333333334,0.7916666666666666,0.8703703703703703,0.7916666666666666,1.0,0.125,0.125
3,1,8,0,0.9166666666666666,1.0,0.8888888888888888,0.75,0.8571428571428571,0.75,0.1111111111111111,-0.11111111111111116,0.888889,0.944444,44.0,structural_pretrain_family,LBP_BPI_CETP,1,1071238,135,12,3,2,0.42,0.833,0.778,0.9444444444444444,1.0,1.0,2,0.9629629629629629,1.0,0.8518518518518519,0.9333333333333333,1.0,0.06666666666666665,0.0
5,1,6,0,0.9166666666666666,1.0,0.8571428571428571,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.14285714285714285,-0.1428571428571429,1.0,1.0,45.0,structural_pretrain_family,LBP_BPI_CETP,2,1071238,135,12,5,2,0.5,0.9,0.757,0.9285714285714286,1.0,1.0,2,0.9428571428571428,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0,0.05555555555555558,0.05555555555555558
1,2,8,1,0.75,0.5,0.8,0.3333333333333333,0.4,0.25,0.2,0.30000000000000004,1.0,1.0,5.0,structural_pretrain_family,LBP_BPI_CETP,3,1071238,135,12,2,2,0.17,0.7,0.9,0.65,0.65,0.5833333333333334,1,0.75,0.8333333333333334,0.85,0.9166666666666666,1.0,-0.33333333333333326,-0.33333333333333326
2,2,6,2,0.6666666666666666,0.5,0.75,0.5,0.5,0.3333333333333333,0.25,0.25,1.0,1.0,58.0,structural_pretrain_family,LBP_BPI_CETP,4,1071238,135,12,4,2,0.42,0.562,0.625,0.625,0.78125,0.8125,2,0.75,0.75,0.78125,0.75,1.0,0.0625,0.0625
1,1,0,0,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,1.0,-1.0,,,,structural_pretrain_family,ML,0,1071238,26,2,1,1,0.0,0.5,0.5,0.5,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1,1,0,0,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,1.0,-1.0,0.5,0.5,1.0,structural_pretrain_family,ML,1,1071238,26,2,1,1,0.0,0.5,0.5,0.5,0.0,0.0,1,0.5,0.5,0.5,0.5,1.0,-0.5,-0.5
1,1,0,0,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,1.0,-1.0,,,,structural_pretrain_family,ML,2,1071238,26,2,1,1,0.0,0.5,1.0,0.5,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0
1,1,0,0,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,1.0,-1.0,,,,structural_pretrain_family,ML,3,1071238,26,2,1,1,0.0,0.5,0.5,0.5,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,0,0,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,1.0,-1.0,,,,structural_pretrain_family,ML,4,1071238,26,2,1,1,0.0,0.5,0.0,0.5,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,0,0,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,1.0,-1.0,,,,structural_pretrain_family,OSBP,0,1071238,15,2,1,1,0.5,0.5,1.0,0.5,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1,1,0,0,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,1.0,-1.0,,,,structural_pretrain_family,OSBP,1,1071238,15,2,1,1,0.0,0.5,1.0,0.5,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0,1,0,0,0.0,,0.0,0.0,,0.0,1.0,,,,,structural_pretrain_family,OSBP,2,1071238,15,1,0,1,,,,,,,0,,,,,1.0,,
1,1,0,0,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,1.0,-1.0,,,,structural_pretrain_family,OSBP,3,1071238,15,2,1,2,0.0,0.5,1.0,0.5,1.0,,0,1.0,,0.0,,1.0,,
1,1,0,0,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,1.0,-1.0,,,,structural_pretrain_family,OSBP,4,1071238,15,2,1,2,0.0,0.5,0.5,0.5,1.0,,0,1.0,,0.0,,1.0,,
11,1,22,0,0.9705882352941176,1.0,0.9565217391304348,0.9166666666666666,0.9565217391304348,0.9166666666666666,0.043478260869565216,-0.04347826086956519,0.979167,1.0,107.0,structural_pretrain_family,START,0,1071238,382,34,11,3,0.71,0.617,0.753,0.9782608695652174,1.0,1.0,3,0.8656126482213439,0.8695652173913043,0.8656126482213439,0.8173913043478261,1.0,0.18260869565217386,0.13043478260869568
