TP,FP,TN,FN,accuracy,sensitivity,specificity,precision,F1,IoU,FAR,sens_spec_gap,valid_last,valid_max,valid_max_epoch,label,family,seed,parameters,train_rows,test_rows,positives,proteins,seen_in_train,prior_by_lipid,prior_by_class,BA,AUC,AUC_within_protein_pairs,AUC_within_protein_pairs_proteins,null_lipid_only_AUC,null_lipid_only_pairs,null_within_protein_AUC,null_within_protein_pairs,null_within_protein_covered,skill_pairs,skill_pairs_vs_best
10,5,20,1,0.8333333333333334,0.9090909090909091,0.8,0.6666666666666666,0.7692307692307692,0.625,0.2,-0.10909090909090902,0.88141,0.961538,44.0,structural_pretrain_family_scratch,CRAL-TRIO,0,1071238,421,36,11,7,0.69,0.551,0.678,0.8545454545454545,0.9236363636363636,0.8941176470588236,3,0.8145454545454546,0.8705882352941177,0.9018181818181819,0.9411764705882353,1.0,-0.04705882352941171,-0.04705882352941171
12,6,18,1,0.8108108108108109,0.9230769230769231,0.75,0.6666666666666666,0.7741935483870968,0.631578947368421,0.25,-0.17307692307692313,0.783654,0.863782,33.0,structural_pretrain_family_scratch,CRAL-TRIO,1,1071238,421,37,13,6,0.68,0.644,0.742,0.8365384615384616,0.8782051282051282,0.9901960784313726,4,0.8685897435897436,0.9901960784313726,0.9294871794871795,1.0,1.0,-0.009803921568627416,-0.009803921568627416
10,6,17,3,0.75,0.7692307692307693,0.7391304347826086,0.625,0.6896551724137931,0.5263157894736842,0.2608695652173913,-0.030100334448160626,0.752976,0.839286,21.0,structural_pretrain_family_scratch,CRAL-TRIO,2,1071238,421,36,13,5,0.81,0.764,0.716,0.754180602006689,0.8729096989966555,0.896551724137931,4,0.8010033444816054,0.8620689655172413,0.7993311036789298,0.8390804597701149,1.0,0.05747126436781613,0.034482758620689724
13,5,20,0,0.868421052631579,1.0,0.8,0.7222222222222222,0.8387096774193548,0.7222222222222222,0.2,-0.19999999999999996,0.875,1.0,40.0,structural_pretrain_family_scratch,CRAL-TRIO,3,1071238,421,38,13,8,0.82,0.668,0.783,0.9,0.9292307692307692,0.9493670886075949,5,0.8184615384615385,0.8860759493670886,0.8738461538461538,0.9430379746835443,1.0,0.006329113924050556,0.006329113924050556
11,6,18,2,0.7837837837837838,0.8461538461538461,0.75,0.6470588235294118,0.7333333333333334,0.5789473684210527,0.25,-0.09615384615384615,0.759615,0.854167,25.0,structural_pretrain_family_scratch,CRAL-TRIO,4,1071238,421,37,13,8,0.84,0.748,0.742,0.7980769230769231,0.8621794871794872,0.9069767441860465,4,0.8044871794871795,0.8953488372093024,0.9022435897435898,0.9825581395348837,1.0,-0.07558139534883723,-0.07558139534883723
4,1,9,0,0.9285714285714286,1.0,0.9,0.8,0.888888888888889,0.8,0.1,-0.09999999999999998,0.95,1.0,36.0,structural_pretrain_family_scratch,GLTP,0,1071238,158,14,4,2,0.29,0.45,0.9,0.95,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,0.0,0.0
3,0,11,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,53.0,structural_pretrain_family_scratch,GLTP,1,1071238,158,14,3,2,0.14,0.455,0.909,1.0,1.0,1.0,1,0.8484848484848485,1.0,0.9393939393939394,1.0,1.0,0.0,0.0
5,3,5,1,0.7142857142857143,0.8333333333333334,0.625,0.625,0.7142857142857143,0.5555555555555556,0.375,-0.20833333333333337,0.916667,0.916667,9.0,structural_pretrain_family_scratch,GLTP,2,1071238,158,14,6,2,0.29,0.5,0.854,0.7291666666666667,0.9166666666666666,0.9166666666666666,2,0.8541666666666666,0.875,0.9583333333333334,0.9583333333333334,1.0,-0.04166666666666674,-0.04166666666666674
3,1,10,0,0.9285714285714286,1.0,0.9090909090909091,0.75,0.8571428571428571,0.75,0.09090909090909091,-0.09090909090909094,1.0,1.0,46.0,structural_pretrain_family_scratch,GLTP,3,1071238,158,14,3,2,0.36,0.455,0.788,0.9545454545454546,0.9696969696969697,0.9523809523809523,1,0.9242424242424242,0.9047619047619048,0.9696969696969697,0.9523809523809523,1.0,0.0,0.0
5,0,9,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,37.0,structural_pretrain_family_scratch,GLTP,4,1071238,158,14,5,2,0.57,0.444,0.8,1.0,1.0,1.0,2,0.9333333333333333,1.0,0.9555555555555556,1.0,1.0,0.0,0.0
3,4,6,0,0.6923076923076923,1.0,0.6,0.42857142857142855,0.6,0.42857142857142855,0.4,-0.4,0.8,0.8,120.0,structural_pretrain_family_scratch,IP_trans,0,1071238,148,13,3,3,0.23,0.667,0.85,0.8,1.0,1.0,1,0.95,0.9666666666666667,0.9833333333333333,0.9666666666666667,1.0,0.033333333333333326,0.033333333333333326
3,6,5,0,0.5714285714285714,1.0,0.45454545454545453,0.3333333333333333,0.5,0.3333333333333333,0.5454545454545454,-0.5454545454545454,0.55,0.95,6.0,structural_pretrain_family_scratch,IP_trans,1,1071238,148,14,3,3,0.21,0.833,0.652,0.7272727272727273,0.8181818181818182,0.8333333333333334,2,0.9393939393939394,1.0,0.8484848484848485,0.8333333333333334,1.0,0.0,-0.16666666666666663
4,2,5,1,0.75,0.8,0.7142857142857143,0.6666666666666666,0.7272727272727272,0.5714285714285714,0.2857142857142857,-0.08571428571428574,0.8125,0.875,13.0,structural_pretrain_family_scratch,IP_trans,2,1071238,148,12,5,3,0.33,0.529,0.557,0.7571428571428571,0.8285714285714286,0.8888888888888888,2,0.7714285714285715,0.7222222222222222,0.6428571428571429,0.9444444444444444,1.0,-0.05555555555555558,-0.05555555555555558
2,6,5,0,0.5384615384615384,1.0,0.45454545454545453,0.25,0.4,0.25,0.5454545454545454,-0.5454545454545454,0.704545,0.954545,8.0,structural_pretrain_family_scratch,IP_trans,3,1071238,148,13,2,3,0.23,0.409,0.614,0.7272727272727273,0.6363636363636364,0.6,2,0.6363636363636364,0.6,0.8181818181818182,0.7,1.0,-0.09999999999999998,-0.09999999999999998
5,5,2,0,0.5833333333333334,1.0,0.2857142857142857,0.5,0.6666666666666666,0.5,0.7142857142857143,-0.7142857142857143,0.729167,0.8125,9.0,structural_pretrain_family_scratch,IP_trans,4,1071238,148,12,5,3,0.25,0.5,0.8,0.6428571428571428,0.9428571428571428,0.8461538461538461,3,0.7285714285714285,0.8846153846153846,0.6714285714285714,0.8846153846153846,1.0,-0.038461538461538436,-0.038461538461538436
3,3,6,0,0.75,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5,0.3333333333333333,-0.33333333333333337,0.944444,0.944444,40.0,structural_pretrain_family_scratch,LBP_BPI_CETP,0,1071238,135,12,3,2,0.42,0.556,0.778,0.8333333333333333,0.9629629629629629,0.9166666666666666,2,0.8333333333333334,0.7916666666666666,0.8703703703703703,0.7916666666666666,1.0,0.125,0.125
3,1,8,0,0.9166666666666666,1.0,0.8888888888888888,0.75,0.8571428571428571,0.75,0.1111111111111111,-0.11111111111111116,0.944444,0.944444,57.0,structural_pretrain_family_scratch,LBP_BPI_CETP,1,1071238,135,12,3,2,0.42,0.833,0.778,0.9444444444444444,1.0,1.0,2,0.9629629629629629,1.0,0.8518518518518519,0.9333333333333333,1.0,0.06666666666666665,0.0
5,1,6,0,0.9166666666666666,1.0,0.8571428571428571,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.14285714285714285,-0.1428571428571429,1.0,1.0,37.0,structural_pretrain_family_scratch,LBP_BPI_CETP,2,1071238,135,12,5,2,0.5,0.9,0.757,0.9285714285714286,1.0,1.0,2,0.9428571428571428,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0,0.05555555555555558,0.05555555555555558
1,2,8,1,0.75,0.5,0.8,0.3333333333333333,0.4,0.25,0.2,0.30000000000000004,1.0,1.0,5.0,structural_pretrain_family_scratch,LBP_BPI_CETP,3,1071238,135,12,2,2,0.17,0.7,0.9,0.65,0.55,0.5,1,0.75,0.8333333333333334,0.85,0.9166666666666666,1.0,-0.41666666666666663,-0.41666666666666663
2,1,7,2,0.75,0.5,0.875,0.6666666666666666,0.5714285714285715,0.4,0.125,0.375,0.9375,0.9375,3.0,structural_pretrain_family_scratch,LBP_BPI_CETP,4,1071238,135,12,4,2,0.42,0.562,0.625,0.6875,0.6875,0.6875,2,0.75,0.75,0.78125,0.75,1.0,-0.0625,-0.0625
1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,structural_pretrain_family_scratch,ML,0,1071238,26,2,1,1,0.0,0.5,0.5,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
